"","main_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"560","Macron Takes on U.S., a Big Gamble Even for a Bold Risk-Taker","negative","negative","neutral","negative",NA
"561","Mandela, Gorbachev, Trump? A Disruptive President Plays Peacemaker","neutral","positive","negative","negative",NA
"562","McCarthy Officially Backs Stefanik to Replace Cheney in House Leadership",NA,NA,NA,"negative",NA
"563","McMaster, Mostly Silent Until Now, Says Trump Is ‘Aiding and Abetting Putin’s Efforts’","positive","positive",NA,"negative",NA
"564","Measles Cases Bring Temporary Halt to Afghans’ Arrival in U.S.",NA,"negative",NA,"negative",NA
"565","Meet the House G.O.P. Freshmen Emerging as Some of the Party’s Sharpest Critics","neutral",NA,"negative","negative",NA
"566","Merkel’s Children: Living Legacies Called Angela, Angie and Sometimes Merkel",NA,NA,NA,"negative",NA
"567","Michèle Flournoy Again Finds Her Shot at the Top Pentagon Job Elusive","positive","positive","positive","negative",NA
"568","Militants Attack Afghan Prison as Brief Cease-Fire Expires","negative","negative","negative","negative",NA
"569","Military Analysis Raises Questions About Deadly Drone Strike in Kabul","negative","negative","negative","negative",NA
"570","Military Officials Say They Urged Biden Against Afghanistan Withdrawal",NA,"negative","negative","negative",NA
"571","Military Ramps Up Evacuations From Kabul, but Bottlenecks Persist",NA,"negative",NA,"negative",NA
"572","Milley, America’s Top General, Walks Into a Political Battle","positive","positive","positive","negative",NA
"573","Miscue After Miscue, U.S. Exit Plan Unravels",NA,"positive",NA,"negative",NA
"574","More U.S. Troops Will Leave Afghanistan Before the Election, Trump Says","positive","neutral","negative","negative",NA
"575","Motorist Who Shot a Protester in Austin Claims Self-Defense",NA,"negative",NA,"negative",NA
"576","Much Changed World, Same Joe Biden Seeking to Undo What Trump Has Done","positive","neutral",NA,"negative",NA
"577","Muslim Americans’ ‘Seismic Change’",NA,"negative",NA,"negative",NA
"578","Myanmar’s Bloodshed Reveals a World That Has Changed, and Hasn’t","negative","negative",NA,"negative",NA
"579","NATO Chief Backs Biden, Saying Europe Was Consulted on Afghanistan",NA,NA,NA,"negative",NA
"580","NATO Confirms Its Troop Withdrawal From Afghanistan",NA,NA,"negative","negative",NA
"581","Navy Warship’s Secret Mission Off West Africa Aims to Help Punish Venezuela","negative","negative","negative","negative",NA
"582","Nearly 80 Killed as Flash Floods Ravage City in Afghanistan","negative",NA,"negative","negative",NA
"583","New Administration Memo Seeks to Foster Doubts About Suspected Russian Bounties","negative",NA,"negative","negative",NA
"584","New Israeli Leader Backs Hard Line on Iran but Softer Tone With U.S.","neutral","positive","negative","negative",NA
"585","New Taliban Guidelines Stir Fear About the Future of Press Freedom","neutral","neutral","neutral","negative",NA
"586","New Warnings of Violence as Security Tightens for Inauguration",NA,"neutral","negative","negative",NA
"587","New Zealand Gives Christchurch Killer a Record Sentence","negative","negative","negative","negative",NA
"588","Nikolai Antoshkin, Who Helped Halt Chernobyl Disaster, Dies at 78","negative","negative","negative","negative",NA
"589","Nobel Peace Prize: A Growing List of Questionable Choices","positive","positive","positive","negative",NA
"590","North Korea Restarted Plutonium-Producing Reactor, U.N. Agency Warns",NA,"positive","negative","negative",NA
"591","Number of Journalists Killed for Their Reporting Doubled in 2020","negative",NA,"negative","negative",NA
"592","Officials Push U.S.-China Relations Toward Point of No Return",NA,NA,NA,"negative",NA
"593","Officials Try to Sway Biden Using Intelligence on Potential for Taliban Takeover of Afghanistan","positive","positive",NA,"negative",NA
"594","On Afghanistan, G.O.P. Assails the Pullout It Had Supported Under Trump","positive","positive","positive","negative",NA
"595","On Afghanistan’s Front Line, There Are No Good Choices",NA,NA,NA,"negative",NA
"596","On the Front Line: A Night With Afghan Commandos",NA,NA,NA,"negative",NA
"597","On the Front Lines of Diplomacy, but at the Back of the Line for a Vaccine",NA,"positive",NA,"negative",NA
"598","Once in Thrall of ‘the Generals,’ Congress Now Gives the Orders on Military Issues","negative","negative",NA,"negative",NA
"599","Outcry in France After Police Clear Paris Migrant Camp","negative","negative","negative","negative",NA
"600","Pakistan and India Renew Pledge on Cease-Fire at Troubled Border","negative","positive","negative","negative",NA
"601","Pakistan Builds Border Fence, Limiting Militants and Families Alike",NA,NA,NA,"negative",NA
"602","Pakistan Laments Cricket Matches Unplayed, and Blames Politics",NA,"negative","negative","negative",NA
"603","Pakistan Says U.N. Envoy of Old Afghan Government Should Vacate Seat",NA,"negative",NA,"negative",NA
"604","Pakistani Court Overturns Conviction in 2002 Killing of Daniel Pearl","negative","negative","negative","negative",NA
"605","Pandemic Collides With Europe’s Migrant Crisis to Set Off a Calamity in Greece","negative","negative","negative","negative",NA
"606","Pandemic Lockdowns Aided Predators Worldwide, Especially Online, U.S. Says",NA,"negative",NA,"negative",NA
"607","Part Victory Lap, Part Sales Job: Biden to Address Joint Session of Congress","positive","positive",NA,"negative",NA
"608","Passed Over 3 Times, a Black Marine Colonel Is Being Promoted to General",NA,"positive","positive","negative",NA
"609","Penelope Laingen, 89, Dies; Her Yellow Ribbon Rallied Americans","negative","positive",NA,"negative",NA
"610","Pentagon Accelerates Withdrawal From Afghanistan",NA,NA,"negative","negative",NA
"611","Pentagon acknowledges Aug. 29 drone strike in Afghanistan was a tragic mistake that killed 10 civilians.","negative","negative","negative","negative",NA
"612","Pentagon Begins Independent Inquiry Into Special Ops and War Crimes",NA,"positive","negative","negative",NA
"613","Pentagon Chief Visits Somalia Ahead of Expected Troop Cuts",NA,"positive","negative","negative",NA
"614","Pentagon Defends Deadly Drone Strike in Kabul","negative","negative","negative","negative",NA
"615","Pentagon Leaders Wary of Working With Taliban","negative","negative",NA,"negative",NA
"616","Pentagon Moves to Block Exam of Tortured Guantánamo Prisoner","negative","negative","negative","negative",NA
"617","Pentagon Ordered National Guard Helicopters’ Aggressive Response in D.C.","negative","negative","negative","negative",NA
"618","Pentagon Seeks Carrier Deployment as It Exits Afghanistan, in Sign It’s Readying for a Fight",NA,"negative","negative","negative",NA
"619","Pentagon Seeks to Soften Blow of U.S. Withdrawal From Afghanistan","negative",NA,"negative","negative",NA
"620","Pentagon Struggles to Wean Afghan Military Off American Air Support","neutral","negative","neutral","negative",NA
"621","Pentagon Weighs Proposal to Send Dozens of Troops Back to Somalia",NA,NA,NA,"negative",NA
"622","Pentagon Weighs Sharp Drawback in Support for C.I.A.","positive","negative","positive","negative",NA
"623","Police Move Migrants From Greek Camp to Temporary Lesbos Site After Fires",NA,"positive",NA,"negative",NA
"624","Police Shrugged Off the Proud Boys, Until They Attacked the Capitol","positive","positive","positive","negative",NA
"625","Pompeo Cuts $1 Billion in Afghan Aid as 2 Leaders Reject Push for Unity","neutral","negative","negative","negative",NA
"626","Pompeo Says He and Military Warned Russia on Bounties for Killing U.S. Troops","negative","negative","negative","negative",NA
"627","Pompeo Says Iran Is New Base for Al Qaeda, but Offers Little Proof",NA,"positive",NA,"negative",NA
"628","Pompeo Warned Russia Against Bounties on U.S. Troops in Afghanistan","negative","positive","negative","negative",NA
"629","Pompeo, Who Led Trump’s Mission at State Dept., Leaves With a Dubious Legacy","neutral","negative","negative","negative",NA
"630","Pope Criticizes Western Intervention in Afghanistan",NA,"neutral","negative","negative",NA
"631","Prince Philip Is Laid to Rest in a Somber 50-Minute Ceremony","negative","positive","negative","negative",NA
"632","Promotions for Female Generals Were Delayed Over Fears of Trump’s Reaction","negative","negative","negative","negative",NA
"633","Pushing QAnon and Stolen Election Lies, Flynn Re-emerges","negative","negative","negative","negative",NA
"634","Putin Takes Shot at West, but Says He’ll Work to ‘Normalize’ Afghanistan",NA,"negative",NA,"negative",NA
"635","Quandary at U.N.: Who Speaks for Myanmar and Afghanistan?","negative","negative",NA,"negative",NA
"636","Raids Reveal Massive Fentanyl Production in Myanmar",NA,"positive",NA,"negative",NA
"637","Rare Pentagon Mission: Armed Troops in Capital",NA,"negative",NA,"negative",NA
"638","Read the Full Transcript of President Biden’s Remarks on Afghanistan",NA,"positive",NA,"negative",NA
"639","Rebel Poet’s Death Leaves 40 Years of Epic Afghan Work Unfinished","negative","negative","negative","negative",NA
"640","Rebuking Biden, Iran’s Chief Diplomat Demands More Sanctions Relief","positive","positive","negative","negative",NA
"641","Reduced to Rubble, an Afghan Village Struggles to Rebuild","negative","negative","negative","negative",NA
"642","Refugee Who Set Herself on Fire in Greece Is Charged With Arson",NA,"negative","negative","negative",NA
"643","Refugees Who Assisted the U.S. Military Find the Door to America Slammed Shut",NA,"negative",NA,"negative",NA
"644","Relief, and Worry, for Arrivals From Afghanistan","neutral","negative","negative","negative",NA
"645","Remote C.I.A. Base in the Sahara Steadily Grows",NA,"positive",NA,"negative",NA
"646","Republicans Are Mad at General Milley. Now It’s Their Turn to Grill Him.","negative","negative","negative","negative",NA
"647","Republicans Block Government Funding, Refusing to Lift Debt Limit","negative","negative","negative","negative",NA
"648","Republicans Heap Criticism on Liz Cheney, Calling Her Disloyal to Trump","negative","negative","negative","negative",NA
"649","Republicans, Wary of Political Fallout, Steer Clear of Rally for Riot Suspects","negative","negative","negative","negative",NA
"650","Restoration of Kabul’s Closed Airport Begins as Some Afghan Aid Resumes",NA,"positive",NA,"negative",NA
"651","Reversing Trump, Biden Repeals Sanctions on Human Rights Prosecutor","positive","positive",NA,"negative",NA
"652","Rise in Virus Cases Near Bases in U.S. and Abroad Poses Test for Military","negative","negative",NA,"negative",NA
"653","Robert Fisk, Intrepid War Correspondent, Dies at 74","negative","negative","negative","negative",NA
"654","Robert Gates Calls to Replace Base Names From ‘Dark Side of Our History’","negative","positive",NA,"negative",NA
"655","Rushed Evacuation in Kabul Highlights Disconnect in Washington",NA,"negative",NA,"negative",NA
"656","Russia Denies Paying Bounties, but Some Say the U.S. Had It Coming","negative","positive","negative","negative",NA
"657","Russia Secretly Offered Afghan Militants Bounties to Kill U.S. Troops, Intelligence Says","neutral","negative","negative","negative",NA
"658","Russian Spy Team Left Traces That Bolstered C.I.A.’s Bounty Judgment",NA,"positive",NA,"negative",NA
"659","Russian Spy Unit Investigated for Links to Bulgarian Explosions",NA,NA,NA,"negative",NA
"660","Ruth Bader Ginsburg Dies: This Week in the 2020 Race","negative","positive",NA,"negative",NA
"661","Ruth Pearl, Mother of Murdered Reporter Daniel Pearl, Dies at 85","negative","positive",NA,"negative",NA
"662","Security in Afghanistan Is Decaying, U.S. General Says as Forces Leave",NA,"negative","negative","negative",NA
"663","See How Rich Countries Got to the Front of the Vaccine Line","positive","positive","positive","negative",NA
"664","Seeking Global Recognition, Taliban Take a New Approach: Making Nice","positive",NA,"positive","negative",NA
"665","Seizing the Presidency to Suit His Own Needs",NA,NA,NA,"negative",NA
"666","Selling Fruit Where the Taliban Stalk the Streets",NA,"negative",NA,"negative",NA
"667","Senate Confirms Austin, Installing First Black Defense Secretary",NA,"positive",NA,"negative",NA
"668","Senate Kills Broad Curbs on Military Gear for Police, Thwarting Push to Demilitarize","negative","positive","negative","negative",NA
"669","Senate Sends Military Bill to Trump’s Desk, Spurning His Veto Threat","negative","negative","negative","negative",NA
"670","Series of U.S. Actions Left Afghan Allies Frantic, Stranded and Eager to Get Out","neutral","positive","positive","negative",NA
"671","Serving in a Twenty-Year War",NA,"negative","negative","negative",NA
"672","She Escaped Pakistan. Now Her Father Has Been Thrown Into Jail.",NA,"negative",NA,"negative",NA
"673","She Killed an American in 2012. Why Was She Freed in the Taliban Deal?","neutral","positive","negative","negative",NA
"674","She’s Green. She’s Young. And She Wants to Change Germany.",NA,"positive",NA,"negative",NA
"675","Shifting to Governing, Taliban Will Name Supreme Afghan Leader","positive","positive",NA,"negative",NA
"676","Showdown Over Omar’s Comments Exposes Sharp Divisions Among Democrats","neutral",NA,"negative","negative",NA
"677","Sidelined on Jan. 6, Walker Has Top Job Securing Capitol Against a Repeat","positive","positive","positive","negative",NA
"678","Slotkin, Former Intelligence Briefer, Presses White House on Russia Reports","positive","positive",NA,"negative",NA
"679","Sluggish Visa Process Strands Thousands of Afghans Who Worked for U.S.","negative","negative","negative","negative",NA
"680","Somalia Worries That a U.S. Withdrawal Will Be Disastrous","negative","negative","negative","negative",NA
"681","Spies and Commandos Warned Months Ago of Russian Bounties on U.S. Troops","negative","positive","negative","negative",NA
"682","Spy Agencies Seek New Afghan Allies as U.S. Withdraws",NA,"positive",NA,"negative",NA
"683","State Dept. Offers Potential Refugee Status to More Afghans Who Worked With U.S.",NA,"neutral",NA,"negative",NA
"684","Stay or Go? Biden, Long a Critic of Afghan Deployments, Faces a Deadline","negative","negative","negative","negative",NA
"685","Stigma Hampers Iraqi Efforts to Fight the Coronavirus","negative","negative","negative","negative",NA
"686","Stranded in Kabul: A U.S. Resident Runs Out of Options",NA,"neutral",NA,"negative",NA
"687","String of Attacks Have People in Kabul Pointing a Finger, at the Government","negative","negative","negative","negative",NA
"688","Strong Turnout in Myanmar Shows Voters’ Support for Nascent Democracy","positive","positive","positive","negative",NA
"689","Struggle for Control of Afghanistan Comes to K Street","negative","negative","negative","negative",NA
"690","Submarine Deal Gives Post-Brexit Britain Its Moment on the Global Stage",NA,"positive",NA,"negative",NA
"691","Suhaila Siddiq, Afghanistan’s First Female General, Is Dead","negative",NA,"negative","negative",NA
"692","Suicide Bombers in Kabul Kill Dozens, Including 13 U.S. Troops","negative","negative","negative","negative",NA
"693","Supreme Court Won’t Hear Case on Limiting Military Draft to Men","positive","neutral",NA,"negative",NA
"694","Suspicions of Russian Bounties Were Bolstered by Data on Financial Transfers","negative",NA,NA,"negative",NA
"695","Swing-District Democrats, Defying Predictions, Poised to Help Keep House","positive",NA,"negative","negative",NA
"696","Taliban Advances in Afghanistan Could Bring Political Peril for Biden","negative","negative","negative","negative",NA
"697","Taliban and U.S. Strike Deal to Withdraw American Troops From Afghanistan","negative","positive","negative","negative",NA
"698","Taliban Announce Brief Cease-Fire, as Afghan Peace Talks Look Imminent","positive","positive","neutral","negative",NA
"699","Taliban Appoint Stalwarts to Top Government Posts","positive","positive","positive","negative",NA
"700","Taliban Attack a Provincial Capital in Afghanistan’s North, Freeing Prisoners","negative","negative","negative","negative",NA
"701","Taliban Attack Afghanistan Amid Growing Coronavirus Threat","negative","negative","negative","negative",NA
"702","Taliban Capture Strategic Cities as Biden Speeds Troop Deployment to Afghanistan",NA,"neutral",NA,"negative",NA
"703","Taliban Claim Control Over Panjshir Valley, but Resistance Vows to Fight On","negative","negative","negative","negative",NA
"704","Taliban Claim Responsibility for Major Attack in Afghan Capital","negative","negative","negative","negative",NA
"705","Taliban Complete Interim Government, Still Without Women",NA,"negative",NA,"negative",NA
"706","Taliban Enter Kandahar City and Seize Border Posts",NA,"negative",NA,"negative",NA
"707","Taliban Enter Key Cities in Afghanistan’s North After Swift Offensive","neutral","negative","positive","negative",NA
"708","Taliban Executes Female Prison Guard, and U.N. Raises Concern Over Afghan Violence","negative","negative","negative","negative",NA
"709","Taliban Fighters Crush a Women’s Protest Amid Flickers of Resistance","negative","negative","negative","negative",NA
"710","Taliban Kill 24 Afghan Troops, With Inside Help","negative","negative","negative","negative",NA
"711","Taliban Overrun 3 More Provincial Capitals, Increasing Pressure on Kabul","negative","negative","negative","negative",NA
"712","Taliban Promise Peace, but Doubt and Fear Persist","neutral","positive","neutral","negative",NA
"713","Taliban Quash Protests and Seize Enemies, Tightening Grip on Afghanistan","negative","negative","negative","negative",NA
"714","Taliban Ramp Up Attacks Even as Coronavirus Spreads in Afghanistan","negative",NA,"negative","negative",NA
"715","Taliban Ramp Up Attacks on Afghans After Trump Says ‘No Violence’","neutral","negative","negative","negative",NA
"716","Taliban Reject Extended Deadline as U.S. Races to Finish Evacuation","negative","negative","negative","negative",NA
"717","Taliban Seize Afghan Provincial Capital Just Weeks Before Final U.S. Withdrawal",NA,"negative","negative","negative",NA
"718","Taliban Seize Women’s Ministry Building for Use by Religious Police",NA,"positive",NA,"negative",NA
"719","Taliban Stage a Major Attack, as Violence Intensifies in Northern Afghanistan","negative","negative","negative","negative",NA
"720","Taliban Sweep in Afghanistan Follows Years of U.S. Miscalculations",NA,NA,NA,"negative",NA
"721","Taliban Take Second Afghan City in Two Days",NA,NA,NA,"negative",NA
"722","Taliban Takeover Could Extinguish U.S. Influence in Kabul","negative","negative",NA,"negative",NA
"723","Taliban Try to Polish Their Image as They Push for Victory","positive","positive",NA,"negative",NA
"724","Taliban Violated Afghan Deal With Shelling of American Bases, U.S. Officials Say",NA,"positive","negative","negative",NA
"725","Tammy Duckworth on Her Fight to Shield Veterans From Deportation",NA,"negative","negative","negative",NA
"726","Tap Dancing With Trump: Lindsey Graham’s Quest for Relevance","positive","positive",NA,"negative",NA
"727","Targeted Killings Are Terrorizing Afghans. And No One Is Claiming Them.",NA,NA,NA,"negative",NA
"728","Tense Talks With China Left U.S. ‘Cleareyed’ About Beijing’s Intentions, Officials Say","negative",NA,"negative","negative",NA
"729","The Afghan Military Was Built Over 20 Years. How Did It Collapse So Quickly?","negative","negative","negative","negative",NA
"730","The Arms Merchant in the Sights of Russia’s Elite Assassination Squad","positive","positive","negative","negative",NA
"731","The Ascension of Ron Klain",NA,NA,NA,"negative",NA
"732","The Biden administration is sending Afghan visa applicants to an Army base in Virginia.",NA,"positive",NA,"negative",NA
"733","The C.I.A. director visited Kabul for secret talks with the Taliban.",NA,"positive",NA,"negative",NA
"734","The Contradiction That Doomed America’s Mission in Afghanistan","negative","negative","negative","negative",NA
"735","The End of ‘America First’: How Biden Says He Will Re-engage With the World",NA,NA,"positive","negative",NA
"736","The Few, the Proud, the White: The Marine Corps Balks at Promoting Generals of Color","positive","positive","positive","negative",NA
"737","The First Afghan Rhodes Scholar Saved Her Father, and Wants to Do More",NA,"positive","positive","negative",NA
"738","The Flynn Calls: His Dismissal of Russian Interference and the Kremlin’s Savvy","neutral","negative",NA,"negative",NA
"739","The Hajj Pilgrimage Is Canceled, and Grief Rocks the Muslim World","negative","negative","negative","negative",NA
"740","The Iran Nuclear Talks, Explained",NA,NA,NA,"negative",NA
"741","The Julian Assange Extradition Case: What You Need to Know",NA,NA,NA,"negative",NA
"742","The Lapses That Let a Saudi Extremist Shoot Up a U.S. Navy Base","negative","negative","negative","negative",NA
"743","The Latest G.O.P. Schism: How to Handle Afghan Evacuees",NA,"negative",NA,"negative",NA
"744","The Legacy of America’s Post-9/11 Turn to Torture","negative","negative","negative","negative",NA
"745","The New U.S. Challenge in Afghanistan: Coping With Taliban Rule",NA,"negative","negative","negative",NA
"746","The Newest Diplomatic Currency: Covid-19 Vaccines","positive","positive",NA,"negative",NA
"747","The Officers Danced at a Black Lives Matter Rally. Then They Stormed the Capitol.",NA,NA,"positive","negative",NA
"748","The Original 20 Guantánamo Detainees: A Roster, and Where They Are Now",NA,NA,NA,"negative",NA
"749","The Photographs of 9/11",NA,NA,NA,"negative",NA
"750","The Propaganda War Intensifies in Afghanistan as the Taliban Gain Ground","neutral","positive","negative","negative",NA
"751","The Real Winner of the Afghan War? It’s Not Who You Think.","positive","positive","positive","negative",NA
"752","The Relics of America’s War in Afghanistan",NA,"negative","negative","negative",NA
"753","The Secrets and Lies of the Vietnam War, Exposed in One Epic Document","negative","negative","negative","negative",NA
"754","The Sharp U.S. Pivot to Asia Is Throwing Europe Off Balance","positive","positive",NA,"negative",NA
"755","The Taliban Are Back. Now Will They Restrain or Support Al Qaeda?","positive","negative","positive","negative",NA
"756","The Taliban Celebrate Victory, With a Crisis Looming","positive","positive","negative","negative",NA
"757","The Taliban Close In on Afghan Cities, Pushing the Country to the Brink",NA,NA,NA,"negative",NA
"758","The Taliban takeover of Afghanistan could extinguish U.S. influence in Kabul.","negative","negative",NA,"negative",NA
"759","The Taliban Think They Have Already Won, Peace Deal or Not","positive","positive","positive","negative",NA
"760","The Taliban’s Leaders: Worldly and ‘Inclusive’ or Ruthless Ideologues?","negative","negative",NA,"negative",NA
"761","The U.S. War in Afghanistan: How It Started, and How It Ended",NA,"negative","negative","negative",NA
"762","The Virus Found a Crowded Houston Neighborhood, Sparing One Nearby","negative","positive",NA,"negative",NA
"763","The West’s Patience With Uganda’s Strongman Wanes After a Bloody Election","neutral","negative","negative","negative",NA
"764","The World in a Vise: Sounding the Alarm on China, Then Running for Shelter","negative","positive","negative","negative",NA
"765","These Herders Lived in Peaceful Isolation. Now, War Has Found Them.","neutral","positive","neutral","negative",NA
"766","They Built Libraries to Honor Loved Ones, Women Felled by Bombings","positive","positive","positive","negative",NA
"767","They Were Guantánamo’s First Detainees. Here’s Where They Are Now.",NA,NA,NA,"negative",NA
"768","They Were Journalists, and Women, and Targeted for Both",NA,NA,NA,"negative",NA
"769","They Were Protectors in Afghanistan. Now They Need Help.",NA,NA,NA,"negative",NA
"770","Third Man With U.S. Ties Has Been Arrested in Haiti Assassination",NA,"negative","negative","negative",NA
"771","This Afghan General Fought the Taliban for Years. Now He Has Joined Them.",NA,"positive",NA,"negative",NA
"772","This Ex-Taliban Commander Is Now the Face of Afghan Security",NA,NA,NA,"negative",NA
"773","This Is Life in Rural Afghanistan After the Taliban Takeover",NA,NA,NA,"negative",NA
"774","Thomas Sullivan Dies at 91; Investigated Corruption in Chicago’s Courts","negative","negative",NA,"negative",NA
"775","Thousands of Afghans on American military bases await resettlement.",NA,"neutral","negative","negative",NA
"776","Thousands of Migrants Huddle in Squalid Conditions Under Texas Bridge",NA,NA,NA,"negative",NA
"777","Thousands Who Helped the U.S. in Afghanistan Are Trapped. What Happens Next?","neutral",NA,"negative","negative",NA
"778","Threats and Fear Cause Afghan Women’s Protections to Vanish Overnight","negative","negative","negative","negative",NA
"779","Three Guantánamo Detainees Charged in 2002 Bali Bombing",NA,NA,"negative","negative",NA
"780","Three Marines, Now Focus of Russian Bounties Investigation, Show the Costs of an Endless War",NA,"negative","negative","negative",NA
"781","Three Women Working for a News Outlet Are Gunned Down in Afghanistan",NA,NA,NA,"negative",NA
"782","Three Women Working to Vaccinate Children Are Shot Dead in Afghanistan","negative","negative","negative","negative",NA
"783","Times Investigation: In U.S. Drone Strike, Evidence Suggests No ISIS Bomb","negative","negative","negative","negative",NA
"784","Timing Is Everything, Biden Says, and ‘Politics Is the Art of the Possible’",NA,"positive",NA,"negative",NA
"785","To China, Afghan Fall Proves U.S. Hubris. It Also Brings New Dangers.","negative","negative",NA,"negative",NA
"786","To Deter Iranian Attacks on U.S. Troops, Pentagon Orders B-52 Flights to Middle East","negative",NA,"negative","negative",NA
"787","To Get to Afghan Talks, Lots of Last-Minute Deals — and Nose Swabs",NA,"negative",NA,"negative",NA
"788","To protect users, Facebook says it’s hiding friends lists on accounts in Afghanistan.","positive","positive","neutral","negative",NA
"789","To Save Afghan Peace Deal, U.S. May Scale Back C.I.A. Presence","positive","positive","positive","negative",NA
"790","Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline","positive","positive","positive","negative",NA
"791","Top Republican National Security Officials Say They Will Vote for Biden","positive","positive","positive","negative",NA
"792","Top U.S. General Steps Down in Afghanistan","positive","positive","positive","negative",NA
"793","Transcript of Biden’s Speech on the U.S. Withdrawal From Afghanistan",NA,"positive","negative","negative",NA
"794","Trifecta of Roles for Leahy: Witness, Juror and Judge in Trump’s Trial",NA,"positive",NA,"negative",NA
"795","Trump Administration Politicized Some Intelligence on Foreign Election Influence, Report Finds","positive","positive",NA,"negative",NA
"796","Trump Administration Sues to Try to Delay Publication of Bolton’s Book","negative","negative","negative","negative",NA
"797","Trump and the Military: A Mutual Embrace Might Dissolve on America’s Streets","positive","positive","positive","negative",NA
"798","Trump Appointee to Temporarily Lead Pentagon; Retired Admiral Will Be Spokesman","positive","positive",NA,"negative",NA
"799","Trump Confronts a New Reality Before an Expected Wave of Disease and Death","neutral","negative","negative","negative",NA
"800","Trump Demands U.N. Hold China to Account for Coronavirus Pandemic","positive","negative","negative","negative",NA
"801","Trump Faces Uproar Over Reported Remarks Disparaging Fallen Soldiers","negative","negative","negative","negative",NA
"802","Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets","positive","negative",NA,"negative",NA
"803","Trump Got Written Briefing in February on Possible Russian Bounties, Officials Say","positive","positive",NA,"negative",NA
"804","Trump Is Said to Be Preparing to Withdraw Troops From Afghanistan, Iraq and Somalia","positive","negative",NA,"negative",NA
"805","Trump Lashes Out at His Cabinet With Calls to Indict Political Rivals","positive","positive",NA,"negative",NA
"806","Trump Made Inaccurate Claims About the Military During His West Point Speech","neutral","neutral",NA,"negative",NA
"807","Trump Orders All American Troops Out of Somalia","positive","positive",NA,"negative",NA
"808","Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan","positive","positive",NA,"negative",NA
"809","Trump Rejects Renaming Military Bases Named After Confederate Generals","neutral","negative","negative","negative",NA
"810","Trump Says He Did Not Ask Putin About Suspected Bounties to Kill U.S. Troops","neutral","negative","negative","negative",NA
"811","Trump Says He Will Reverse Pentagon Plan to Close Newspaper That Informs and Speaks for Troops","positive","positive",NA,"negative",NA
"812","Trump Speaks With a Taliban Leader","positive","positive",NA,"negative",NA
"813","Trump Stacks the Pentagon and Intel Agencies With Loyalists. To What End?","positive","positive",NA,"negative",NA
"814","Trump Still Defers to Putin, Even as He Dismisses U.S. Intelligence and the Allies","positive","positive",NA,"negative",NA
"815","Trump Suggests Gold Star Families May Be to Blame for His Infection","neutral","positive","negative","negative",NA
"816","Trump Takes Aim at a Watergate Reform: The Independent Inspector General","positive","positive",NA,"negative",NA
"817","Trump Tweets and Golfs, but Makes No Mention of Virus’s Toll","neutral","positive",NA,"negative",NA
"818","Trump Using Last Days to Lock In Policies and Make Biden’s Task More Difficult","neutral","positive","negative","negative",NA
"819","Trump v. Putin: A Vaccine Manhood Contest","positive","positive",NA,"negative",NA
"820","Trump Wants Troops in Afghanistan Home by Election Day. The Pentagon Is Drawing Up Plans.","positive","positive",NA,"negative",NA
"821","Trump’s ‘Disaster Diplomacy’ Has So Far Had Few Results","negative","negative","negative","negative",NA
"822","Trump’s Campaign Talk of Troop Withdrawals Doesn’t Match Military Reality",NA,"neutral",NA,"negative",NA
"823","Trump’s Deal With the Taliban Draws Fire From His Former Allies",NA,"positive","negative","negative",NA
"824","Trump’s Dilemma: Reject DeVos Debt Forgiveness Rollback or Anger Veterans","negative","negative","negative","negative",NA
"825","Trump’s Inspector General Has Expressed Dim Views of Congressional Oversight","negative","neutral",NA,"negative",NA
"826","Trump’s New Russia Problem: Unread Intelligence and Missing Strategy","positive","negative","negative","negative",NA
"827","Trump’s Sanctions on International Court May Do Little Beyond Alienating Allies",NA,"negative",NA,"negative",NA
"828","Trump’s Secret Rules for Drone Strikes Outside War Zones Are Disclosed",NA,"negative","negative","negative",NA
"829","Trump’s Tweets on Troop Withdrawals Unnerve Pentagon","negative",NA,NA,"negative",NA
"830","Two More Guantánamo Detainees Are Cleared for Transfer to Other Nations","positive",NA,"positive","negative",NA
"831","U.K. Cabinet Reshuffle a Blow to Boris Johnson’s Global Ambitions","negative","positive",NA,"negative",NA
"832","U.K. Judge Blocks Assange’s Extradition to U.S., Citing Mental Health",NA,NA,"negative","negative",NA
"833","U.S. Airstrikes in Afghanistan Could Be a Sign of What Comes Next",NA,NA,NA,"negative",NA
"834","U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends","positive","negative","negative","negative",NA
"835","U.S. Calls for Indefinite Arms Embargo of Iran, but Finds No Takers",NA,"neutral",NA,"negative",NA
"836","U.S. Citizens and Afghans Wait for Evacuation Flights From Country’s North",NA,"negative",NA,"negative",NA
"837","U.S. Commandos Use Secretive Missiles to Kill Qaeda Leaders in Syria","negative","negative","negative","negative",NA
"838","U.S. Conducts Drone Strike in Kabul and Winds Down Airlift as Deadline Nears","negative","negative","negative","negative",NA
"839","U.S. Contractor Knew of Explosive Material in Beirut Since at Least 2016","negative","negative",NA,"negative",NA
"840","U.S. Defends Detention of Afghan at Guantánamo Despite Pullout",NA,"negative","negative","negative",NA
