"","print_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"591","Number of Journalists Killed  For Reporting Doubled in ’20",-1,NA,-3,"negative",TRUE
"592","Hawks Set China And U.S. on Path To Lasting Divide",NA,NA,NA,NA,NA
"593","Some Officials Advise Against Afghan Pullout",NA,2,NA,"positive",NA
"594","G.O.P. Assails Pullout It Had Supported Under Trump",2,2,2,"positive",TRUE
"595","Left Stranded and Scared in Fight for Kandahar",-1,-4,-3,"negative",TRUE
"596","To Rattle Taliban in Helmand,  Afghans Rely on an Elite Unit",0,4,NA,"positive",FALSE
"597","U.S. Diplomats Desperate for Vaccines and Dismayed by the Government",-2,-3,-5,"negative",TRUE
"598","Congress, Once in Thrall Of ‘the Generals,’ Gives  The Military Orders Now",NA,-1,NA,"negative",NA
"599","‘I Was Stunned’: Outcry as Paris Police Dispel Migrant Camp",0,-4,-4,"negative",FALSE
"600","Pakistan  And India Renew Vow In Cease-Fire",NA,3,-2,"positive",FALSE
"601","Pakistan Builds Border Fence, Limiting Militants and Families Alike",NA,NA,NA,NA,NA
"602","Pakistan Unhappy as 2 Nations Cancel Visits at Last Minute ",-1,-6,-3,"negative",TRUE
"603","Who Will Speak for Afghanistan at U.N. Event?",NA,NA,NA,NA,NA
"604","Pakistani Court Overturns Conviction in 2002 Killing of American Journalist",-1,-5,-3,"negative",TRUE
"605","A Squalid Refugee Camp. A Pandemic. Then Fires Compound the Misery.",-1,-9,-2,"negative",TRUE
"606","Pandemic Lockdowns Fueled Predators Worldwide, Especially Online, U.S. Says",NA,-3,NA,"negative",NA
"607","Biden to List Victories And Pitch Objectives",NA,NA,NA,NA,NA
"608","Black Colonel, Denied Promotion 3 Times, Is Poised to Shatter a Barrier",-1,-4,-6,"negative",TRUE
"609","Penelope Laingen, Whose Ribbon Tied a Nation Together, Dies at 89",-1,3,NA,"positive",FALSE
"610","Pentagon Speeds Afghanistan Exit  Despite Worries",-1,NA,NA,"negative",NA
"611","Drone Attack Was a Mistake, Pentagon Says",-2,-6,-3,"negative",TRUE
"612","Pentagon To Review  Elite Units On Missions",1,4,NA,"positive",TRUE
"613","Ahead of Expected Cuts In Troops, Pentagon Chief Makes a Visit to Somalia",NA,3,-1,"positive",FALSE
"614","Pentagon Defends Kabul Drone Strike After Investigation Casts Doubts on Account",-2,-1,-2,"negative",TRUE
"615","Pentagon Leaders Wary of Working With Taliban: ‘This Is a Ruthless Group’",-2,-5,NA,"negative",TRUE
"616","Army Secretary Changes Rules to Halt Health Review of Guantánamo Prisoner",-1,-5,-2,"negative",TRUE
"617","Army Opens Inquiry Into Aerial Show of Force",NA,-1,NA,"negative",NA
"618","Pentagon Asks for a Carrier to Shield Its Afghan Exit",NA,NA,NA,NA,NA
"619","With Subtle Changes, U.S. Softens Blow of Its Withdrawal From Afghanistan",-1,NA,-3,"negative",TRUE
"620","Pentagon Struggles to Wean Afghan Military From Dependency on U.S. Air Power",-1,-2,-2,"negative",TRUE
"621","Pentagon Develops Proposal to Send Dozens of Troops Back to Somalia",NA,NA,NA,NA,NA
"622","Administration Considers Paring Military Support for C.I.A.",1,-1,2,"positive",FALSE
"623","Migrants Are Moved From Burned Camp to Temporary Site",-1,NA,NA,"negative",NA
"624","Proud Boys Got Bigger as Police Looked Away",1,5,2,"positive",TRUE
"625","Pompeo Cuts $1 Billion in Afghan Aid as Bid for Unity Is Rebuffed",1,3,-1,"positive",FALSE
"626","Pompeo Says He Warned Russia About Bounties for Killing Western Troops",-2,-3,-5,"negative",TRUE
"627","Exiting, Pompeo Claims Iran Is New Qaeda Base, But Produces No Evidence",NA,1,NA,"positive",NA
"628","A Public Warning Aimed at Russia Over U.S. Bounties",-1,1,-3,"negative",FALSE
"629","As Pompeo Exits State Dept., His Turbulent Tenure Leaves Dubious Legacy for the U.S.",-2,-3,-2,"negative",TRUE
"630","Pope Criticizes Western Intervention in Afghanistan and Messy Exit",-1,-2,-2,"negative",TRUE
"631","Prince Philip Is Laid to Rest in an Intimate Ceremony Rich in Tradition",2,9,2,"positive",TRUE
"632","Pentagon to End Delay On Elevating 2 Women To 4-Star Commands",-1,-1,-1,"negative",TRUE
"633","Flynn Is Back, Selling Anger And T-Shirts",-1,-2,-3,"negative",TRUE
"634","Putin Takes Shot at the West, but Says He’ll Work to ‘Normalize’ Afghanistan",NA,-3,NA,"negative",NA
"635","Quandary at U.N.: Who Gets to Speak for Myanmar and Afghanistan?",-1,-3,NA,"negative",TRUE
"636","Record Raids in Myanmar Point to Shifting Drug Trade",NA,1,NA,"positive",NA
"637","Rare Pentagon Mission:  Armed Troops in Capital",NA,-2,NA,"negative",NA
"638","Full Transcript of Biden’s Speech on Afghanistan",NA,2,NA,"positive",NA
"639","Afghan Poet Died With Epic and Nation at Loose Ends",-2,2,-6,"negative",FALSE
"640","Rebuking Biden, Iran’s Chief Diplomat Demands More Sanctions Relief",1,1,-1,"positive",FALSE
"641","Reduced to Rubble, a Village Struggles to Rebuild",-1,-3,-2,"negative",TRUE
"642","Refugee Who Set Herself on Fire in Greece Is Charged With Arson",NA,-5,-5,"negative",TRUE
"643","Refugees Risked Lives Helping U.S. Military, But Nation Blocks Entry",1,0,1,"positive",FALSE
"644","Both Relief and Worry As Afghans Reach U.S.",0,-1,-2,"negative",FALSE
"645","C.I.A. Surveils Extremists From Growing Saharan Base",-1,1,1,"positive",FALSE
"646","In Afghanistan Hearing, Milley Back in the Center of a Political Battle",NA,-2,-1,"negative",TRUE
"647","Fiscal Stalemate As G.O.P. Blocks A Spending Bill",-1,-2,-1,"negative",TRUE
"648","G.O.P. Lawmakers Question Cheney on Her Leadership and Loyalty to Trump",2,4,3,"positive",TRUE
"649","Republicans Steer Clear of Rally With Riot Ties",NA,-3,-2,"negative",TRUE
"650","Salvaging of Kabul’s Airport Begins as Some Foreign Aid Resumes",NA,1,NA,"positive",NA
"651","Sanctions Put on I.C.C. Prosecutor Are Revoked",NA,NA,NA,NA,NA
"652","At Local Bases and Overseas, the Military Is Struggling to Stem Infections",-2,-1,-2,"negative",TRUE
"653","Robert Fisk, 74, Journalist  Who Chronicled the Unrest In the Mideast and Beyond",-1,-1,NA,"negative",TRUE
"654","Former Defense Secretary Says ‘Time Has Come’ to Rename Bases",NA,1,NA,"positive",NA
"655","Diplomats’ Rosy Hopes Vanish in Grim Reality Of a Dash for the Exit",0,-2,2,"neutral",FALSE
"656","Russia Denies Paying U.S. Troop Bounties, but Offers No Condolences",-1,NA,-2,"negative",TRUE
"657","Russia Offered Afghans Bounty To Kill U.S. Troops, Officials Say",-1,1,-3,"negative",FALSE
"658","C.I.A. Found Evidence  On Russia Bounty Claim",NA,7,NA,"positive",NA
"659","Russian Spies Suspected  In Bulgarian Explosions",NA,NA,-1,"negative",NA
"660","Out of the Cocoon and Into the Town Hall",NA,NA,NA,NA,NA
"661","Ruth Pearl, 85, Mother Of Murdered Journalist",NA,4,NA,"positive",NA
"662","U.S. General Warns of Civil War Gripping Afghanistan After Exit",NA,-1,-4,"negative",TRUE
"663","How Rich Countries Took Over the Front of the Line for Covid Shots",1,NA,2,"positive",TRUE
"664","Seeking Global Recognition, Taliban Take New Approach: Making Nice",1,NA,3,"positive",TRUE
"665","Portrait of Man In It for Himself",NA,NA,NA,NA,NA
"666","Afghan City Feels Taliban Tighten Vise",NA,-1,NA,"negative",NA
"667","Senate Confirms Austin, Installing the First Black Defense Secretary",NA,1,NA,"positive",NA
"668","Senate Rejects Ban on Transfer of Military-Grade Weaponry to Police",-1,-4,-3,"negative",TRUE
"669","Senate Sends Veto-Proof Military Bill To President",NA,1,NA,"positive",NA
"670","Promises Go Unmet for Afghans Who Risked Their Lives for U.S.",1,NA,1,"positive",TRUE
"671","Mission ‘Unfinished’",-1,-1,NA,"negative",TRUE
"672","After an Activist’s Escape,  Pakistan Jails Her Father",NA,1,-1,"neutral",FALSE
"673","In Taliban Deal, Divide Over Release of a Killer",-1,5,NA,"positive",FALSE
"674","She’s Young, She’s Green and She Wants to Change Germany",NA,2,NA,"positive",NA
"675","Economy in Free Fall  Is but One Challenge",0,-4,0,"negative",FALSE
"676","Omar Comments Spur Democratic Infighting On Human Atrocities",-1,-1,NA,"negative",TRUE
"677","House Security Chief Vows No Jan. 6 Repeat",NA,NA,NA,NA,NA
"678","From Congress, Ex-Intelligence Briefer Presses White House on Bounty Reports",1,6,NA,"positive",TRUE
"679","Sluggish Visa System Delays Evacuating Afghans Who Worked for U.S.",-2,-1,-2,"negative",TRUE
"680","Somalia Worries U.S. Pullout Could Lead to Disaster ",-1,-3,-2,"negative",TRUE
"681","Cash Discovery Tipped Off Spies  About Bounties",NA,3,NA,"positive",NA
"682","Western Spy Agencies Court New Afghan Allies",NA,-1,NA,"negative",NA
"683","State Dept. Offers Refugee Status to Afghans Who Helped News Outlets",1,0,NA,"positive",FALSE
"684","Test for Biden: Can U.S. Exit Afghanistan?",NA,NA,NA,NA,NA
"685","Stigma Hampers Efforts To Fight the Virus in Iraq",-2,-9,-1,"negative",TRUE
"686","Stranded in Kabul: A U.S. Resident Runs Out of Options",NA,0,NA,"neutral",NA
"687","Attacks in Kabul Have Afghans Pointing a Finger at Their Government",-1,-2,-1,"negative",TRUE
"688","Voters Throng Polls In Myanmar Elections",NA,NA,NA,NA,NA
"689","Anti-Taliban Leader in Afghanistan Hires Lobbyist to Seek Military and Financial Help in the U.S.",NA,1,-1,"neutral",FALSE
"690","Britain Returns to Global Stage As Broker in U.S.-Australia Deal",NA,5,NA,"positive",NA
"691","Suhaila Siddiq, General  And Doctor in Afghanistan",NA,2,NA,"positive",NA
"692","U.S. Troops Among Dozens Dead in Blasts As Biden Vows, ‘We Will Hunt You Down’",-1,NA,-3,"negative",TRUE
"693","Supreme Court Will Not Hear Case on Military Draft",1,0,NA,"positive",FALSE
"694","Money Transfers Bolstered Belief in Russian Scheme",NA,3,NA,"positive",NA
"695","Red-District Democrats, Defying Predictions, Poised to Keep House Seats",1,NA,-2,"negative",FALSE
"696","Leaving a ‘Forever War’  Could Backfire on Biden",NA,-2,-2,"negative",TRUE
"697","U.S. and Taliban Sign Withdrawal Accord",NA,2,-3,"negative",FALSE
"698","Taliban-Afghan Peace Talks May Start After a Cease-Fire for a Muslim Festival",1,8,0,"positive",FALSE
"699","Taliban Officials  From Old Regime  Assume Key Posts",NA,NA,NA,NA,NA
"700","Taliban Keep Up March Into North Afghanistan And Release Prisoners",NA,1,-2,"negative",FALSE
"701","Taliban Attacks Continue Despite Outbreak Threat",-3,0,-3,"negative",FALSE
"702","Free Fall in Afghanistan Prompts U.S. to Deploy Another 1,000 Soldiers",0,-2,1,"negative",FALSE
"703","Taliban Claim to Control Panjshir Valley, Last Hold of Afghan Resistance",-1,-2,NA,"negative",TRUE
"704","Taliban Claim Responsibility For Attack In Kabul",-1,-3,-1,"negative",TRUE
"705","Bucking the U.N., Taliban Refuse to Include Women in Afghan Government",-1,-2,-2,"negative",TRUE
"706","Taliban Enter Kandahar, Second-Largest Afghan City",NA,NA,NA,NA,NA
"707","Afghans Fail To Prevent  Key Captures  By Taliban",-1,-1,-3,"negative",TRUE
"708","Female Guard Is Latest Target of Taliban Violence",NA,-3,-3,"negative",TRUE
"709","Taliban Fighters Crush Women’s Protest Amid Flickers of Resistance",-4,-2,-3,"negative",TRUE
"710","Taliban Hit Kills 24 Afghans At Police and Army Outpost",-1,-2,-3,"negative",TRUE
"711","Taking Hold  In Provinces, Taliban Rout 3 More Cities",NA,-1,NA,"negative",NA
"712","Violent History Clouds Taliban’s Vows",-1,-3,-3,"negative",TRUE
"713","Tightening Grip, Taliban Silence Foes and Dissent",-1,NA,NA,"negative",NA
"714","Dozens of Daily Taliban Strikes Besiege Afghan Forces, Undermining Peace Accord",-1,7,-1,"positive",FALSE
"715","Attacks on Afghans by Taliban Rise After Signing of Peace Deal",0,9,1,"positive",FALSE
"716","Taliban Demand August Pullout As the U.S. Rushes to Evacuate",NA,-3,-1,"negative",TRUE
"717","Taliban Secure A Regional Hub Without a Fight",1,-3,1,"negative",FALSE
"718","Ministry For Women Now Houses Vice Police",-1,3,NA,"positive",FALSE
"719","Taliban Stage Major Attack; Violence Intensifies in North",-1,-6,-4,"negative",TRUE
"720","Misjudging the Pace of Taliban Sweep",NA,NA,NA,NA,NA
"721","‘Nothing Is Left’: Taliban Take Second Afghan City in 2 Days",NA,NA,NA,NA,NA
"722","Taliban Takeover Could Halt U.S. Influence in Kabul After 20 Years of Diplomacy",NA,3,NA,"positive",NA
"723","As Districts Fall, Taliban Focus on Governing",-1,-1,NA,"negative",TRUE
"724","Taliban Violated Peace Deal With Shelling of Bases, U.S. Officials Say",1,9,0,"positive",FALSE
"725","Senator Describes Push to Stop Deportation of Veterans",NA,-4,-1,"negative",TRUE
"726","Early Adversity Drives Graham Toward Power",-1,-4,NA,"negative",TRUE
"727","Afghans Living In Fear as More Become Targets",-1,-3,-2,"negative",TRUE
"728","Testy Exchange Shows the U.S. A Bolder China",-1,2,NA,"positive",FALSE
"729","Over 15 Cities Slip Out of the Grasp of Afghan Forces",NA,0,NA,"neutral",NA
"730","The Arms Dealer in the Crosshairs of Russia’s Elite Assassination Squad",1,0,-3,"negative",FALSE
"731","After Decades, It’s Klain’s Turn As Chief of Staff",NA,NA,NA,NA,NA
"732","Some Afghan Applicants For Visas to Be Brought To Virginia Army Base",NA,1,NA,"positive",NA
"733","C.I.A. Director Traveled to Kabul for Secret Talks With Taliban Leaders",NA,3,NA,"positive",NA
"734","The Contradiction That Doomed America’s Mission in Afghanistan",-2,-4,-2,"negative",TRUE
"735","Looking to End ‘America First’ And Re-engage With the World",NA,NA,1,"positive",NA
"736","In Command: The Few, the Proud, the White",1,4,2,"positive",TRUE
"737","First Afghan Rhodes Scholar Got Her Father Out, and Wants to Do More",NA,2,NA,"positive",NA
"738","In Phone Transcripts, the Kindling of a Kremlin-Fueled Fire",NA,-1,-2,"negative",TRUE
"739","‘It Was My Only Wish’: Muslims Share Grief as Hajj Is Canceled",-1,2,-1,"neutral",FALSE
"740","Negotiations With Iran To Restore Nuclear Deal Could Take a Long Time",NA,6,1,"positive",TRUE
"741","U.K. Judge Set to Consider Whether to Send Assange  To U.S. for Espionage Trial",NA,-1,NA,"negative",NA
"742","Lax Vetting Let A Saudi Trainee Shoot Up a Base",NA,-4,-1,"negative",TRUE
"743","Resettlement of Afghan Allies Has Revealed the Latest G.O.P. Schism",NA,-2,NA,"negative",NA
"744","One Legacy of Sept. 11: A Torture Policy’s Stain",-2,-6,-4,"negative",TRUE
"745","20 Years of Enmity Aside, U.S. And Taliban Need Each Other",-1,-4,NA,"negative",TRUE
"746","Making Friends in a Pandemic By Using Vaccine Diplomacy",NA,1,NA,"positive",NA
"747","After Rally and Riot, a Virginia County Fractures",NA,-2,-2,"negative",TRUE
"748","Nearly 20 Years After 9/11, 20 Diverging Paths",NA,NA,NA,NA,NA
"749","The Photographs of 9/11",NA,NA,NA,NA,NA
"750","As the Taliban Seize More Cities, the Propaganda War Grows in Importance",-1,-3,-2,"negative",TRUE
"751","Pakistan Has Future Riding on Taliban",NA,NA,NA,NA,NA
"752","The Salvaged Relics of a Very Long War",NA,-3,-2,"negative",TRUE
"753","Public Lies and Secret Truths",-1,3,NA,"positive",FALSE
"754","Europe Is Thrown Off Balance by U.S. Alliance With Australia",NA,2,NA,"positive",NA
"755","With Taliban Back, Will Terror Groups Have a Safe Haven Again?",0,3,-2,"positive",FALSE
"756","The Taliban Celebrate Victory, With a Crisis Looming",1,3,-1,"positive",FALSE
"757","Taliban Circle Afghan Cities,  Provoking U.S.",NA,-3,-1,"negative",TRUE
"758","Taliban Takeover Could Halt U.S. Influence in Kabul After 20 Years of Diplomacy",NA,3,NA,"positive",NA
"759","Taliban Believe  The War’s Over  And They Won",1,NA,3,"positive",TRUE
"760","After 20 Years of War, Afghans Wonder How the Insurgency’s Leaders Will Govern",NA,0,-2,"negative",FALSE
"761","America’s War in Afghanistan: How It Started and How It Is Ending",NA,-2,-2,"negative",TRUE
"762","Two Neighborhoods: One Rich, One Poor. One Spared.",0,NA,0,"neutral",FALSE
"763","Ugandan Leader’s Brutal Grip on Power Is Testing Patience of the West",0,0,NA,"neutral",FALSE
"764","Sounding Alarms, Seeking Conciliation: Australia Is Conflicted on China",-1,3,NA,"positive",FALSE
"765","Prospect of Taliban Advance Puts a Pastoral Corridor on Edge",NA,4,1,"positive",TRUE
"766","Libraries Built as Monuments To Two Slain Afghan Women",NA,NA,NA,NA,NA
"767","20 Lives Weigh On Plan to Shut Guantánamo",NA,3,NA,"positive",NA
"768","Where Being a Journalist, and a Woman, Could Cost You Your Life",NA,1,NA,"positive",NA
"769","Nepali Former Security Contractors Worry They Will Be Unable to Get Home",-2,-4,-3,"negative",TRUE
"770","Haiti Arrests 3rd Man With U.S. Ties in Assassination",NA,-4,-5,"negative",TRUE
"771","Prominent Retired General Joins Taliban, Stunning the Afghan Government",2,-2,6,"positive",FALSE
"772","How a Former Taliban Commander Became the Face of Afghan Security",NA,NA,NA,NA,NA
"773","Violence Ebbs But Pain Lasts Outside Kabul",-1,-7,-5,"negative",TRUE
"774","Thomas Sullivan, 91, Dies;  Rooted Out Case-Fixing In Chicago’s Court System",-1,2,NA,"positive",FALSE
"775","Thousands of Afghans on U.S. Military Bases Await Resettlement",NA,0,-1,"negative",FALSE
"776","Surge Leaves 9,000 Migrants Crammed Under a Texas Bridge",NA,1,NA,"positive",NA
"777","A Frantic Demand For U.S. Visas",-1,-3,-2,"negative",TRUE
"778","Women’s Shelters Close As the Taliban Advance",NA,3,NA,"positive",NA
"779","3 Guantánamo Detainees Formally Face Charges Linked to 2002 Bali Bombing",NA,NA,-2,"negative",NA
"780","A Blast. A Bounty Claim. A Battle With No End.",NA,0,-1,"negative",FALSE
"781","Three Women Working for a News Outlet Are Gunned Down in Afghanistan",NA,NA,NA,NA,NA
"782","3 Polio Vaccine Workers  Are Killed in Afghanistan",-1,-2,-3,"negative",TRUE
"783","Evidence Disputes U.S. Claim of ISIS Bomb in Kabul Drone Strike",-2,-6,-4,"negative",TRUE
"784","Outlining Goals in First News Conference, Biden Hails ‘Art of the Possible’",NA,3,NA,"positive",NA
"785","China Sees U.S. Hubris, but Afghanistan Offers No Easy Choices",0,NA,1,"positive",FALSE
"786","Pentagon Orders B-52s  To Fly to Persian Gulf  As Deterrent to Tehran",-1,NA,NA,"negative",NA
"787","Last-Second Deals Underscore Frailty of Afghan-Taliban Peace Talks",1,2,2,"positive",TRUE
"788","Facebook Hides Friend Lists To Protect Its Afghan Users",1,4,0,"positive",FALSE
"789","To Save Peace Deal With Taliban, U.S. May Reduce C.I.A. Presence in Afghanistan",1,13,4,"positive",TRUE
"790","General Tempers White House Chatter on Paring Troops in Afghanistan",-1,NA,NA,"negative",NA
"791","Top G.O.P. Security Officials Back Biden, Calling Trump ‘Unfit to Lead’",2,5,2,"positive",TRUE
"792","Top U.S. General Leaves as Afghan Withdrawal Continues",1,3,-1,"positive",FALSE
"793","Full Transcript of Biden’s Remarks on Afghanistan",NA,1,NA,"positive",NA
"794","Leahy Juggles His Responsibilities as Judge, Juror and Witness",NA,1,NA,"positive",NA
"795","Trump Officials Distorted Intelligence on Foreign Meddling, Report Finds",1,0,-2,"negative",FALSE
"796","Administration Sues to Delay Bolton’s Memoir",-2,-5,-1,"negative",TRUE
"797","Military Vets Break Silence On President",-1,2,NA,"positive",FALSE
"798","Trump Appointee Will Lead Pentagon Until Biden’s Pick Is Confirmed",2,5,NA,"positive",TRUE
"799","As Numbers Sink In, New Reality Confronts A More Somber Trump",-1,-1,-2,"negative",TRUE
"800","Before Virtual U.N. Assembly, Trump Casts China as Villain in Pandemic",1,-2,NA,"negative",FALSE
"801","A Furor Erupts Over President And War Dead",-2,-2,-5,"negative",TRUE
"802","Trump Fires Esper Amid Fears Of Purge at Security Agencies",0,-1,NA,"negative",FALSE
"803","Trump Given Brief in February On Possible Russian Bounties ",1,1,NA,"positive",TRUE
"804","Trump Is Said to Plan Reduction of Forces in Afghanistan, Iraq and Somalia",1,2,NA,"positive",TRUE
"805","President Lashes Out At His Aides With Calls To Indict Political Rivals",NA,0,NA,"neutral",NA
"806","President Exaggerates His Own Record On Funding Pentagon and Ending Wars",NA,2,-2,"neutral",FALSE
"807","Trump Orders Pullout Of Troops From Somalia Before End of His Term",1,1,NA,"positive",TRUE
"808","President’s Pentagon Purge Could Accelerate Pullout Of Troops in Afghanistan",NA,-1,NA,"negative",NA
"809","A Losing Battle in the Military",-1,-6,-4,"negative",TRUE
"810","Trump Says He and Putin Didn’t Talk About Bounties",1,2,NA,"positive",TRUE
"811","Trump Says Troops’ Paper Won’t Shutter After All",1,1,NA,"positive",TRUE
"812","Pursuing Exit, Trump Talks  To a Leader Of the Taliban",1,3,NA,"positive",TRUE
"813","Atop Pentagon, A Fresh Group Of Hard-Liners",0,NA,0,"neutral",FALSE
"814","Trump Still Defers to Putin As He Dismisses Intelligence",2,3,NA,"positive",TRUE
"815","‘They Want to Hug Me’: Trump Suggests That Gold Star Families May Have Infected Him",2,9,0,"positive",FALSE
"816","A Post-Watergate Reform  Under Pressure by Trump",2,1,-1,"positive",FALSE
"817","Trump Stays Quiet on Toll As U.S. Nears a Milestone",1,1,NA,"positive",TRUE
"818","President Moves To Hem Biden In On U.S. Policies",NA,2,NA,"positive",NA
"819","As Putin Rushes Vaccine, U.S. Experts Fear Pharmaceutical Manhood Contest",-1,0,-2,"negative",FALSE
"820","Trump Wants Troops in Afghanistan Home by Election Day",1,1,NA,"positive",TRUE
"821","U.S. ‘Disaster Diplomacy’ Yields Few Results",-1,-1,-2,"negative",TRUE
"822","Trump Boasts of Withdrawing Troops, but Thousands Remain in Harm’s Way",1,1,NA,"positive",TRUE
"823","Critical of President, Trump and Pompeo Face Own Attacks",-1,3,-1,"positive",FALSE
"824","Pushback on DeVos Debt Policy Puts Pressure on Trump",0,-1,-3,"negative",FALSE
"825","Inspector General Pick Casts Doubt on Powers Allowed of Congress",-1,0,-1,"negative",FALSE
"826","Putin on Offense  As Trump Stands  On the Sidelines",1,-4,NA,"negative",FALSE
"827","Allies Balk at U.S. Sanctions on Rights Lawyer",-1,-5,NA,"negative",TRUE
"828","Trump Rules for Drone Strikes Are Disclosed",1,1,-1,"positive",FALSE
"829","Trump’s New Push to Withdraw Troops Catches Pentagon Off Guard",NA,-1,NA,"negative",NA
"830","2 Guantánamo Inmates Are Cleared for Transfer",1,NA,1,"positive",TRUE
"831","Britain’s Leader Shakes Up Cabinet in a Blow to His Global Ambitions",-1,4,NA,"positive",FALSE
"832","Citing Mental Health, Judge Blocks Extradition for Assange",NA,NA,-1,"negative",NA
"833","‘This Is About Buying Time’: U.S. Launches Round of Afghan Airstrikes",NA,1,NA,"positive",NA
"834","U.S. Troop Reduction Begins in Afghanistan",NA,NA,NA,NA,NA
"835","U.S. Urges Indefinite Iran Embargo to No Avail",NA,-1,NA,"negative",NA
"836","1,000 Spend Fifth Day Waiting at Northern Airport for Taliban to Let Planes Leave",NA,0,-1,"negative",FALSE
"837","U.S. Kills Qaeda Leader With Secretive Missile",-2,0,-3,"negative",FALSE
"838","Amid Terror Threat, a Hurried Airlift of Afghans Ends",-2,-5,-5,"negative",TRUE
"839"," U.S. Contractor Warned of Explosive Material in Beirut Years Ago",-2,0,-2,"negative",FALSE
"840","U.S. Defends Detention of Afghan Citizen, Even as It Withdraws From Afghanistan",NA,-1,-2,"negative",TRUE
"841","Defense Chief Under Biden Secretly Visits Afghanistan",NA,0,NA,"neutral",NA
"842","As U.S. Diplomats Fell Sick, Washington Minimized the Danger",-3,-8,-4,"negative",TRUE
"843","U.S. Forces Were Training Guinean Troops Who Took Off to Mount Coup",NA,0,NA,"neutral",NA
"844","Top U.S. General Hints Airstrikes on Taliban May Continue Past an August Cutoff",1,7,2,"positive",TRUE
"845","As Biden Mulls Afghan Exit, U.S. Discloses 1,000 More Troops in Area",NA,NA,NA,NA,NA
"846","A U.S. Effort to Ease a Mideast Rivalry (and Hurt Iran)",-1,-4,0,"negative",FALSE
"847","U.S. Sends Troops to Aid Evacuation as Taliban Surge",NA,1,NA,"positive",NA
"848","U.S. Strikes ISIS Branch as Bombing’s Death Toll Soars",-2,-3,-3,"negative",TRUE
"849","U.S. Troops Seized Their Land. Angry Afghans Still Want It Back.",-1,-2,-3,"negative",TRUE
"850","U.S. Departs Last Afghanistan Base, Effectively Ending 20 Years of War",1,-1,0,"neutral",FALSE
"851","U.S. Looks to Build on Secret Parts of Taliban Deal to Reduce Violence",NA,3,-3,"neutral",FALSE
"852","U.S. Military  Begins Task Of Leaving  Afghanistan",NA,0,NA,"neutral",NA
"853","U.S. Military Cuts Back On Medical Evacuation For Troops in Africa",NA,0,-1,"negative",FALSE
"854","Pentagon Tally of Civilians  U.S. Killed in 2019 Is 132",-1,NA,-3,"negative",TRUE
"855","U.S. Moves to Jump-Start Talks  For Afghan Truce With Taliban",NA,6,NA,"positive",NA
"856","U.S. to Reimpose U.N. Sanctions on Iran Over Western Allies’ Objections",-1,NA,NA,"negative",NA
"857","1,500 Citizens Remain In Afghanistan as U.S. Intensifies Rush to Exit",NA,NA,NA,NA,NA
"858","U.S. Says Most of Beijing’s Claims in South China Sea Are Illegal",-1,-4,-3,"negative",TRUE
"859","U.S. to Cut Troops in Afghanistan to 2,500",NA,NA,-1,"negative",NA
"860","Military Reinforcements To Be Deployed to Syria",NA,0,NA,"neutral",NA
"861","U.S. Is Urged To Slow Pullout In Afghanistan",-1,NA,NA,"negative",NA
"862","Alarmed by Taliban’s Surge, U.S. Launches 11th-Hour Airstrikes",-1,1,-2,"negative",FALSE
"863","With Biden in Wings,  U.S. Ready to Adjust  Its Posture on Turkey",1,1,NA,"positive",TRUE
"864","U.S. Is Set to Announce Troop Drawdown From Iraq, at Least on Paper",NA,NA,NA,NA,NA
"865","U.S. to Reopen To Vaccinated From Overseas",NA,NA,NA,NA,NA
"866","U.S. to Relocate Afghan Allies, Like Interpreters, While Special Visas Are Processed",NA,2,NA,"positive",NA
"867","War Crimes Investigators Face Punishment by U.S.",NA,-6,-2,"negative",TRUE
"868","U.S. to Reduce Troops in Iraq to 3,000, Helping to Fulfill a Goal on Overseas Cuts",1,2,3,"positive",TRUE
"869","U.S. to Halve Afghan Force by Inauguration Day",NA,1,NA,"positive",NA
"870","Deploying to Iraq, Even as Afghan War Ends",NA,-2,-2,"negative",TRUE
"871","Afghans Look to Biden for Stability as U.S. Troops Leave",1,-1,-1,"negative",FALSE
"872","Despite Surging Violence, U.S. Urges Afghanistan to Respect Peace Accord",2,6,-1,"positive",FALSE
"873","U.S. Used Secret Weapon, Missile With Blades, to Kill Qaeda Leader in Syria",-1,-1,-3,"negative",TRUE
"874","For Veterans, Pain, Anguish And Sorrows",-2,-7,-5,"negative",TRUE
"875","U.S. Forces Leave Kabul; Evacuation Ends",NA,-2,-1,"negative",TRUE
"876","Pentagon Eyes  Future Strikes  At the Taliban",NA,NA,-1,"negative",NA
"877","U.S. Will Pull 12,000 Troops From Germany, Defense Chief Says",NA,1,NA,"positive",NA
"878","Test for U.S.: Aid Afghans, Not Taliban",NA,1,NA,"positive",NA
"879","U.S. Says Little as Military Tensions Flare Globally With Russia",-1,-1,NA,"negative",TRUE
"880","U.S. Says Little as Military Tensions Flare Globally With Russia",-1,-1,NA,"negative",TRUE
"881","Ugandan President Retains 35-Year Grip on Power",NA,2,NA,"positive",NA
"882","Ukraine’s Leader Seeks Assurances From Biden",1,2,NA,"positive",TRUE
"883","In Kabul Streets, Eerie Quiet and a Struggle to Make Ends Meet",0,-4,-4,"negative",FALSE
"884","U.S. ‘Forever War’ Veterans Back Biden on Withdrawal",NA,-2,-5,"negative",TRUE
