"","main_text","main_bing","main_nrc","main_afinn","print_text","print_bing","print_nrc","print_afinn"
"352","Deadly School Assault Catapults Kabul into Even More Despair",-3,-12,-3,"Assault on University Students Targets Afghanistan’s Future, Erasing Hopes",-1,-1,2
"353","Debate Over Presidential War Powers Sets Up Test for a Divided G.O.P.",NA,-1,-2,"Push to Repeal Power for War Divides G.O.P.",NA,-2,-2
"354","Debating Exit From Afghanistan, Biden Rejected Generals’ Views",-1,-1,-1,"Debating Exit, Biden Rejected Generals’ View",-1,-1,-1
"355","Deeply Divided, House Democrats Battle Over Priorities and Politics",NA,-3,-1,"Divided Democrats Resume House Battles Over Priorities and Politics",NA,-1,-1
"356","Defense Chief Says He Advised Against Staying in Afghanistan ‘Forever’",NA,1,NA,"Top 3 U.S. Defense Officials Face House Panel, a Day After Senate Testimony",1,5,2
"357","Defense Secretary Backs Changes to Military Law on Sexual Assault",-1,-3,NA,"Defense Secretary Backs Changes to Policies on Sex Assault",-1,1,NA
"358","Defense Secretary Will Assess How to Promote More Minorities in Military",NA,-1,1,"A Losing Battle in the Military",-1,-6,-4
"359","Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan",-2,-7,-3,"Afghan Women Killed In Stampede for Visas  To Travel to Pakistan",-2,NA,-5
"360","Democrats Hit the Road to Sell Big Spending Bills as Republicans Attack",-1,-5,-1,"Democrats Hit Road to Sell Ambitious Budget",1,-1,2
"361","Democrats Investigating Why White House Ended Ban on Some Gun Silencer Sales",NA,-4,-3,"Democrats Are Investigating End of Ban on Silencer Sales",NA,-1,-2
"362","Democrats Move to Avert Shutdown, but Divisions Imperil Biden’s Agenda",-1,NA,-1,"Democrats Seek Way to Protect Biden’s Agenda",1,2,1
"363","Democrats to Pair Spending Bill With Raising Debt Ceiling, Pressuring G.O.P.",-1,-2,-2,"Spending Bill to Be Tied to Debt Ceiling",-1,-2,-2
"364","Departure of U.S. Contractors Poses Myriad Problems for Afghan Military",NA,-3,NA,"Afghan Pilots  Dread Absence  Of Contractors",-2,-4,-2
"365","Desperate Afghan Women Wait for U.S. Protection, as Promised",1,-1,-2,"Rushing to Erase Proof Of Working With U.S.",-1,-1,NA
"366","Desperation as Afghans Seek to Flee a Country Retaken by the Taliban",-2,-1,NA,"Afghans Describe ‘Terror’ As Hopes of Escaping Fade",-1,-3,-2
"367","Did the War in Afghanistan Have to Happen?",NA,-1,-2,"U.S. Passed on Taliban Surrender, and 20 Years of War Followed",-1,-5,-2
"368","Does Requiring Only Men to Register for the Draft Violate the Constitution?",-1,1,-2,"Does a Men-Only Draft Violate the Constitution?",-1,1,-2
"369","Donald H. Rumsfeld, Defense Secretary During Iraq War, Is Dead at 88",-1,-2,-5,"Donald H. Rumsfeld, Ex-Defense Secretary, Dies at 88",-1,0,NA
"370","Donald Rumsfeld, Architect of War in Afghanistan, Is Laid to Rest",NA,-1,-2,"Amid Debacle in Kabul, Rumsfeld Is Laid to Rest",-1,-2,NA
"371","Donors Pledge Less Aid to Afghanistan During a Violent Chapter",-1,1,-3,"As Attacks Continue in Afghanistan, World Donors Pledge Less Aid",-1,7,-1
"372","Donors Send Quake Aid to Haiti, but for How Long?",NA,0,NA,"Global Needs and Past Misuse of Donations Threaten Haiti’s Recovery",-1,-2,-2
"373","Dozens Test Positive for Coronavirus at Afghan President’s Palace",1,NA,2,"Dozens Fall Ill At the Palace Of the Leader, Officials Say",-1,-5,-2
"374","Dr. Gino Strada, Who Brought Health Care to the Desperate, Dies at 73",-2,-1,-1,"Gino Strada, 73, Surgeon Who Brought Medicine  To the Front Lines of War",NA,-3,-2
"375","Dueling Claims to Power. Broken Institutions. How Does Haiti Fix This?",-1,-4,-1,"Institutional Weakness Compounds Predicament Of Haiti’s Power Struggle",-3,-7,-4
"376","Duncan Hunter Sentenced to 11 Months in Prison for Stealing Campaign Funds",-2,-9,-4,"Hunter Given  Prison Term  Of 11 Months In Fraud Case",-2,-8,-6
"377","E.U. Offers Cash and More Deportations in New Plan for Migrants",NA,3,NA,"E.U. Offers Members Cash in Plan for Migrants",NA,3,NA
"378","E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home",NA,1,NA,"E.U. Offering Migrants Cash to Leave Greece",NA,2,-1
"379","Eager to Shift Narrative, Biden Team Puts Airlift in Historical Context",1,6,2,"Eager to Shift Narrative,  Biden Team Puts Airlift In Historical Perspective",1,6,2
"380","Elite Afghan Forces Suffer Horrific Casualties as Taliban Advance",-1,1,-5,"As U.S. Speeds Its Withdrawal,  Taliban Hit Elite Afghan Forces",1,2,-3
"381","Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",NA,1,2,"G.O.P. Pins House Hopes on Profile That’s Lifted Democrats",NA,NA,2
"382","Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",NA,1,2,"G.O.P. Pins House Hopes on Profile That’s Lifted Democrats",NA,NA,2
"383","Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups",NA,2,NA,"Ex-Spies Recruited in Push To Attack Liberal Groups",-1,-3,-1
"384","Erik Prince, Trump Ally, Denies Role in Libya Mercenary Operation",0,2,-2,"Trump Ally Denies Role In $80 Million Scheme To Back Libyan Leader",0,4,-2
"385","Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?",1,NA,NA,"Europe Lauds Biden, but Trust in U.S. Is Shaken",1,1,1
"386","European Court Backs Germany in Case Over 2009 Killings of Afghan Civilians",NA,-1,NA,"European Rights Court Backs Germany Over Killings of 90 Afghan Civilians",NA,-1,NA
"387","Evacuations for Afghans Who Helped U.S. Troops Will Begin This Month",1,NA,NA,"Evacuation of Afghan Allies Is Set to Begin As U.S. Withdrawal Enters Its Final Phases",NA,-1,-3
"388","Evacuations From Kabul Wind Down as U.S. Prepares to Pull Last Troops",NA,1,NA,"Frenzied Exit From Kabul Nears End as the President Cites a New Terror Threat",-3,-6,-5
"389","Even Suicide Bombings Can’t Keep These Students From School",-1,-3,-2,"For Afghan Minorities, Getting an Education Means Risking Death",-1,-3,-2
"390","Executive Order Halting New Green Cards Includes Exceptions",NA,0,NA,"Trump’s Pen Halts Green Cards, but Leaves Loopholes",-1,3,NA
"391","Ex-F.B.I. Agent Who Vanished on C.I.A. Mission to Iran Is Most Likely Dead, U.S. Concludes",-1,-2,-3,"Ex-F.B.I. Agent Who Vanished in Iran Is Probably Dead, U.S. Says",-1,-2,-3
"392","Ex-Intelligence Analyst Is Sentenced for Leaking to a Reporter",0,7,-2,"Ex-Analyst Who Leaked Details on Drone Warfare Is Sentenced",NA,-2,-5
"393","F.B.I. Finds Links Between Pensacola Gunman and Al Qaeda",NA,NA,NA,"F.B.I. Finds Links Between Florida Military Base Attack and Al Qaeda",-1,-3,-1
"394","Father of Slain Marine Finds Heartbreak Anew in Possible Russian Bounty",NA,6,NA,"‘Nightmare’ for Parents of Marine Slain Under Possible Russian Bounty",-1,3,NA
"395","Father Soldier Son",NA,0,NA,"Father, Soldier, Son",NA,0,NA
"396","Fear Sets In as Taliban Seize Former Bastions of Resistance",-2,-7,-2,"Refugees Flock to Afghan Capital, Seeking Reprieve From Taliban Assault",-1,-3,NA
"397","Fearing Kabul’s Fall, U.S. Officials Implore Afghans to ‘Fight’",-1,-7,-3,"Fearing Fall of Kabul, U.S. Officials Implore  Afghans to Fight Back",-1,-7,-3
"398","Fears Rise About Safety of Afghan Airport as U.S. Warns Americans to Stay Away",-1,1,-1,"U.S. Embassy Warns Americans to Avoid Kabul Airport Amid Threats",-1,-1,-5
"399","Fears That Trump Might Launch a Strike Prompted General to Reassure China, Book Says",0,3,0,"New Book Details Fears Trump Would Start War",0,0,-2
"400","Feeling Spurned by Trump, U.N. Sees Redemption in Biden and Team",2,3,1,"Feeling Spurned by Trump,  U.N. Finds Encouragement  Biden Will Restore Its Place",2,2,4
"401","Fighting Patriarchy, and Fearing Worse From the Taliban",-1,-7,-5,"Far Beyond 2001, but Fearing Its Return",NA,-2,-2
"402","Fire Destroys Most of Europe’s Largest Refugee Camp, on Greek Island of Lesbos",NA,-2,-5,"Arson Fire Destroys Most of Europe’s Largest Refugee Camp",NA,-5,-5
"403","First Flight From Kabul Is Hailed as Positive Step Amid Troubling Signs",0,NA,4,"Little Optimism Even as Taliban Reopen Airport   ",1,6,2
"404","First Resistance to Taliban Rule Tests Afghanistan’s Uncertain Future",-2,-5,-1,"Protests Emerge as Taliban Strive to Cement Power",-1,3,-2
"405","First Tied to ISIS, Then to U.S.: Family in Drone Strike Is Tarnished Twice",-2,-3,-1,"U.S. Drone Strike Error Tarnishes Victims Twice",-3,-5,-6
"406","First Woman Joins Green Berets After Graduating From Special Forces Training",NA,5,NA,"Barrier Falls As a Woman Becomes A Green Beret",-1,1,-2
"407","Foes in Afghan War See a Common Threat of Islamic State’s Return",-1,-5,-4,"Foes in Afghan War See Islamic State as Common Threat",-1,-5,-4
"408","For Afghan Women, Taliban Stir Fears of Return to a Repressive Past",-2,NA,NA,"‘My Future Is Dark’: Fear Rises  In Women After Years of Gains",-1,-4,0
"409","For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove",NA,-1,-1,"U.S. Aid Cut May Shove Afghanistan Closer to the Brink",NA,-1,-1
"410","For America, and Afghanistan, the Post-9/11 Era Ends Painfully",-1,-2,NA,"Post-9/11 Era Ends Painfully, For America and Afghanistan",-1,-2,NA
"411","For Biden, Deliberation and Caution, Maybe Overcaution, on the World Stage",NA,-2,NA,"Biden’s Early Steps on the World Stage Are Cautious Ones",NA,2,-1
"412","For Biden, Images of Defeat He Wanted to Avoid",1,-3,-1,"For Biden, Images He Wanted to Avoid",NA,-2,-1
"413","For Decades, This Radio Station Named the Dead. Few Still Listen.",-1,1,-3,"Naming the Dead,  Even as the Audience  Slowly Dwindles",-2,1,-3
"414","For Flynn, Dropped Charges Are the Latest in a Life Full of Reversals",NA,NA,-2," Surprise Ruling: Latest Reversal In Flynn’s Life",NA,0,NA
"415","For Immigrants Watching a Mob Storm the Capitol, a Sense of Shock and Shame",-2,-10,-4,"Familiar Fears as Immigrants See ‘Blackest Day for Democracy’",-1,3,NA
"416","For India’s Military, a Juggling Act on Two Hostile Fronts",-1,-5,-2,"For India’s Military, a Juggling Act on Two Fronts With Hostile Neighbors",-1,-5,-2
"417","For Netanyahu and Israel, Trump’s Gifts Kept on Coming",NA,1,NA,"For Netanyahu and Israel, Political Presents From Trump Kept Coming",1,2,NA
"418","For Some, Afghanistan Outcome Affirms a Warning: Beware the Blob",-2,-4,-3,"‘The Blob’ Has a Media Moment After the U.S. Troop Withdrawal",NA,-3,-3
"419","For Veterans, Bonds Forged in Battle Are Tested by 2020’s Rancor",-2,-3,-1,"Bonded by Combat, Veterans Are Driven Apart by Political Rancor",-1,-3,-1
"420","For Women in Afghan Security Forces, a Daily Battle",NA,-1,-1,"For Afghan Women, Fears That Hard-Won Progress Will Vanish",0,4,4
"421","Former Commanders Fault Trump’s Use of Troops Against Protesters",-1,-2,-2,"Former Commanders Denounce Trump’s Use of Military Forces Against Americans",-1,-4,-2
"422","Four Jagged Puzzle Pieces and a Few Weeks for Democrats to Assemble Them",-1,NA,NA,"For Democrats, a Jigsaw Puzzle and a Ticking Clock",NA,1,NA
"423","Freed From Guantánamo, but Still in Limbo 15 Years Later",1,NA,NA,"Jailed in Cuba, Deported to Albania, Hunted by China",NA,NA,-2
"424","French Military Says It Killed Top Qaeda Leader in Africa",0,4,-1,"French Forces Kill a Top Leader of Al Qaeda in Africa",0,2,-1
"425","Fresh From Iran’s Coronavirus Zone, Now Moving Across Afghanistan",1,NA,1,"Flowing Across Border  From a Virus Hot Spot",0,-2,NA
"426","From Afar, Congress Moves to Oversee Trump Coronavirus Response",1,1,NA,"Pelosi Creating Bipartisan Panel to Oversee Trump’s Response to Crisis",-1,-1,-3
"427","From Afghanistan to the World Cup, Tiny, Wealthy Qatar Steps Up",1,NA,2,"In Afghan Exit, Qatar Emerges As Go-Between",NA,NA,NA
"428","From Kabul Airport to a Houston Walmart: ‘Desperate to Get to America’",-1,0,-3,"After Car Bomb and Kidnapping, Family Starts a New Life in Texas",-1,-3,-1
"429","From Maternity Ward to Cemetery, a Morning of Murder in Afghanistan",-1,-7,-2,"Maternity Ward and Cemetery Assaults Kill Dozens in Afghanistan",-1,-6,-3
"430","From Taliban Terror to Beach Resort: A Strange Journey for Some Refugees",-2,1,-4,"For Afghans in Albania, a Soft Place to Land, but Dread Persists",0,0,-2
"431","From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan",0,12,0,"U.S.-Taliban Deal May Give Pakistan a Weak, Pliable Neighbor",-1,8,-2
"432","From Victims to Superwomen: Honoring Female Strength in Afghanistan",1,2,1,"Unearthing Women’s Stories in the Face of a Grim Future",-1,-4,NA
"433","G.O.P. Convention Skims Over Trump’s ‘Unfinished Business’ in Foreign Policy",-1,0,NA,"‘Unfinished Business’ In Trump Foreign Policy Gets Skimmed Over",0,0,NA
"434","General Warns of Challenges to Tracking Terrorist Threats in Afghanistan After U.S. Exits",-1,-4,-4,"Withdrawal  Will Erode Intelligence, General Says",0,2,-3
"435","George P. Shultz, Top Cabinet Official Under Nixon and Reagan, Dies at 100",0,6,2,"George Shultz, 100, Who Helped End The Cold War, Dies",-1,-3,-2
"436","German Neo-Nazi Sentenced to Life for Murder of Merkel Ally",-1,-2,-4,"German Neo-Nazi Is Sentenced  To Life for Assassinating Backer  Of Merkel’s Policy on Refugees",NA,2,-2
"437","Germany to Take In 1,500 Refugees, Easing Burden on Greece After Fires",0,NA,-2,"Germany Takes Refugees From Greece After Fire",NA,-1,-2
"438","Germany’s Far Right Is Nowhere in the Election. But It’s ‘Here to Stay.’",NA,NA,NA,"Germany’s Far Right Has Little Support in Election, but It’s ‘Here to Stay’",1,NA,2
"439","Ghani Takes the Oath of Afghan President. His Rival Does, Too.",-1,4,NA,"Ghani Takes the Oath of Afghan President. His Chief Rival Does, Too.",-1,4,NA
"440","Giant Puppet Ruffles Some Feathers on a Long Walk Through Greece",-1,-1,NA,"A Giant Refugee Ruffles Some Feathers",NA,-2,NA
"441","Gil Loescher, 75, Refugees Expert Who Survived Iraq Bombing, Dies",-1,2,2,"Gil Loescher, 75, a Survivor  Of a Suicide Bombing in Iraq Who Fought for the Refugees",0,-4,0
"442","Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech",0,2,NA,"Trump to Address Cadets In Uneasy Commencement",0,-2,-2
"443","Green Beret Charged in Shooting Spree Was Visiting Family, Prosecutor Says",NA,-1,-3,"Green Beret Is Charged In 3 Killings",NA,3,-3
"444","Grenell Pursued Talks Over Change of Power in Venezuela",NA,-1,NA,"Key Trump Ally  Pursued Talks  To Shift Power  In Venezuela",1,3,NA
"445","Grilled by G.O.P. senators, Blinken defends Biden administration’s Afghanistan exit.",NA,NA,NA,"Grilled by G.O.P., Blinken Defends Biden’s Afghanistan Exit",NA,NA,NA
"446","Grim Image of India Prompts Debate Over China’s Swaggering Propaganda",-2,-4,-2,"Chinese News Service Mocks India’s Virus Plight",-3,-4,-2
"447","Guantánamo Prosecutors Ask to Strike Information Gained From Torture",-1,-5,-3,"In Reversal, Military Lawyers Ask to Strike Out Material Obtained From Torture",-2,-9,-5
"448","Gunmen Kill Dozens at Event Attended by Afghan Politicians",-1,-3,-3,"Snipers Kill 32 Civilians at Kabul Event Attended by Opposition Leader",-2,-3,-3
"449","Gunmen Storm Kabul University, Killing at Least 19",-1,-4,-3,"Gunmen Kill at Least 19 at University in the Afghan Capital",-1,-1,-3
"450","Harry and Meghan to Give Up Official Royal Family Duties",NA,-2,NA,"1 Year Later,  Royal Split Turns Official For Sussexes",-1,0,NA
"451","Has ‘America First’ Become ‘Trump First’? Germans Wonder",1,1,NA,"Germany Feels Left Out As Trump Shifts Alliance",1,2,NA
"452","He Built a Robot to Prove a Point About Refugees",NA,1,NA,"Offering a Résumé and a Robot Built Out of Trash",-1,-2,NA
"453","He Built a Trump Statue and Worshiped It. Then He Collapsed.",1,2,1,"Worshipful Fan of Trump  Was Faithful Until Death  ",1,0,4
"454","He Killed 2 Marines in 2011. It Almost Derailed Peace Talks This Month.",0,4,-3,"Hard Choices Over Afghan Killer Cleared the Way for Peace Talks",0,4,2
"455","He Saved 31 People at Sea. Then Got a 142-Year Prison Sentence.",-1,-7,-2,"He Saved 31 People at Sea. Then He Got a 142-Year Prison Sentence.",-1,-7,-2
"456","He Sidestepped Pompeo and Got Slapped Down. Now He’s the New Pentagon Chief.",NA,NA,NA,"Recent Friction for Pompeo And New Pentagon Chief",-1,-1,NA
"457","He was a baby on 9/11. Now he’s one of the last casualties of America’s longest war.",NA,0,-2,"Marine Barely Older Than War Is Killed Bringing It to an End",-1,-1,-5
"458","Her Study Center Was Bombed. She Still Topped Afghanistan’s National University Exam.",NA,3,NA,"Bombing Survivor, Afghan Teen Persists in Dream of Education",1,NA,3
"459","Here Are Some of the People Trump Pardoned",1,1,2,"Fund-Raisers, Music Stars And Advisers",NA,1,NA
"460","House approves $1 billion for the Iron Dome as Democrats feud over Israel.",NA,0,2,"House Backs Funding for Israel’s Iron Dome",NA,2,NA
"461","House Passes Bill to Speed Visas for Afghans Imperiled for Aiding U.S.",NA,1,NA,"U.S. Pushes Bill to Hasten  Visa Process  For Afghans",NA,NA,NA
"462","House Passes Defense Bill Overwhelmingly, Defying Trump’s Veto Threat",-2,-5,-2,"House Passes Bill Allowing New Names for Military Bases",NA,-1,NA
"463","House Passes Spending Bill and Debt Limit Increase Over G.O.P. Opposition",-3,-3,-1,"House Passage of Spending and Debt Measure Cues Senate Face-Off",-1,0,-2
"464","House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto",0,-5,-4,"House Votes to Claw Back Power to Use Force on Iran",NA,-6,NA
"465","House Taps Military Official to Lead Security",1,1,NA,"1st Black Sergeant-at-Arms In House History Is Named",NA,NA,NA
"466","House Votes to Override Trump’s Veto of Military Bill",NA,-3,NA,"House Votes to Override Trump’s Veto of Military Bill",NA,-3,NA
"467","How 2 Afghan Paralympians Defied the Odds to Get From Kabul to Tokyo",NA,NA,NA,"How 2 Afghan Athletes Defied Odds to Make It Out of Kabul and to Japan",NA,NA,NA
"468","How a Longstanding Rivalry Spiraled Into 5 Deaths Between 2 Families",-1,-2,NA,"Exposé Reignites Feud;  At Least 5 Afghans Die",-1,-5,-3
"469","How an Afghan Political Crisis Derailed Payments to War Victims",-1,-3,-10,"Afghan Political Crisis Derails Thousands in Payments to War Victims",-1,-3,-10
"470","How Long Can the Afghan Security Forces Last on Their Own?",NA,NA,NA,"With U.S. Exit, Afghan Forces Face a Reckoning",NA,NA,NA
"471","How Many People in Afghanistan Need to be Rescued? The Number Remains Elusive.",NA,-1,2,"Thousands Are Out, But Thousands More Are Waiting for Rescue",NA,5,2
"472","How Russia Built a Channel to the Taliban, Once an Enemy",-1,-4,-2,"Suspicions About Russia’s Outreach to the Taliban Go Back Years",-1,NA,2
"473","How Space Became the Next ‘Great Power’ Contest Between the U.S. and China",NA,NA,NA,"U.S. Counters Space Threat From China",-1,-3,-2
"474","How Students in 12 Countries Are Taught About 9/11",NA,1,NA,"How Teenagers Around the World Are Taught About 9/11",NA,1,NA
"475","How the G.O.P. Lost Its Clear Voice on Foreign Policy",-1,-2,-3,"A Splintered G.O.P. Struggles To Find Unity on Foreign Policy",0,2,-2
"476","How the Pandemic Is Imperiling a Working-Class College",NA,-3,NA,"Pandemic Puts College Lifeline Beyond Reach",NA,-3,1
"477","How the Taliban Outlasted a Superpower: Tenacity and Carnage",0,-3,NA,"After 18 Years of War, Taliban Sense Victory Over a Superpower",1,3,-2
"478","How the U.S. Plans to Fight From Afar After Troops Exit Afghanistan",NA,-3,-1,"U.S. Surveys Options to Strike From Afar After Exit From Afghanistan",-1,-2,-1
"479","How the World’s Largest Coronavirus Outbreaks Are Growing",NA,NA,1,"A Scramble to Slow the Spread of Infection",-3,-2,NA
"480","How Will the Taliban Govern? A History of Rebel Rule Offers Clues.",NA,-1,NA,"History of Rebel Rule  Offers Clues Into Ways  The Taliban May Govern",NA,-1,NA
"481","Hundreds of Migrants Stranded in Freezing Weather in Bosnia",-1,-2,NA,"Left Stranded, Migrants Shiver in Hostile Bosnia",-2,-8,-2
"482","Hunted by the Taliban, U.S.-Allied Afghan Forces Are in Hiding",NA,1,-1,"Afghan Forces on the Run, Hiding and Hunted",NA,-1,-1
"483","I.C.C. Allows Afghanistan War Crimes Inquiry to Proceed, Angering U.S.",NA,0,-2,"International Court Allows Afghanistan War Crimes Case to Proceed, Angering U.S.",NA,-3,-2
"484","I.C.C. Will Investigate Accusations of War Crimes in Israeli-Occupied Territories",-1,-1,-4,"International Court Is Opening War Crimes Inquiry on Israel and Militants",NA,-1,-2
"485","Ida Nudel, ‘Angel’ to Soviet Jews Seeking to Flee, Dies at 90",-1,3,NA,"Ida Nudel, ‘Angel’ to Soviet Jews, Dies at 90",0,5,NA
"486","In a Death, Details of More Russian Murder-for-Hire Plots",-2,-3,-4,"Chechen Man Who Shed Light on Russian Contract Killings Is Murdered",NA,-1,NA
"487","In a final blow of the 20-year war, U.S. envoys close their embassy and exit Kabul.",-1,-2,-2,"With Diplomats Gone, U.S. Embassy in Afghanistan Will Stay Shut",NA,NA,NA
"488","In a Village of Widows, the Opium Trade Has Taken a Deadly Toll",-2,-9,NA,"Village of Widows Scrapes By in Shadow of Afghan Opium Trade",NA,-4,NA
"489","In Abrupt Reversal of Iran Strategy, Pentagon Orders Aircraft Carrier Home",-1,-1,NA,"U.S. Backs Off Naval Strategy Aimed at Iran",NA,NA,NA
"490","In Afghan Attacks, Facts Are Murky. But It’s Clear Deaths Are Piling Up.",-2,-3,-1,"Facts in Afghan Attacks Are Hazy, but It’s Clear Deaths Are Piling Up ",-2,NA,-1
"491","In Afghan Withdrawal, a Biden Doctrine Surfaces",NA,1,-3,"In the Withdrawal From Afghanistan, a Biden Doctrine Surfaces",NA,1,-3
"492","In Afghanistan, a Booming Kidney Trade Preys on the Poor",0,1,-2,"‘Everything Has a Value’: Afghanistan’s Kidney Trade Preys on the Poor",-1,1,-2
"493","In Afghanistan, an Unceremonious End, and a Shrouded Beginning",-1,NA,NA,"A Solemn Pullout In the Last Hours Of a Lost Fight",-2,-5,-5
"494","In Afghanistan, Follow the White High-Tops and You’ll Find the Taliban",1,NA,2,"When White Hightops Exude Fear, Not Fashion",-1,-3,-2
"495","In an Overrun Kabul, Many Have No Place to Run",-1,NA,NA,"In Single Day, Taliban Push Transforms  Life in Kabul",NA,NA,NA
"496","In Bid to Boost Its Profile, ISIS Turns to Africa’s Militants",1,NA,1,"ISIS and African Militants Join In a Marriage of Convenience",1,6,1
"497","In Biden’s Foreign Policy, Friends and Foes Claim Echoes of Trump",1,1,NA,"Friends and Foes Alike Hear Echoes of Trump In Biden Foreign Policy",1,1,NA
"498","In Forceful Defense of Afghan Withdrawal, Biden Says U.S. Achieved Its Objectives",-1,0,-3,"Biden Defends  Afghan Pullout  In Blunt Tones",-1,NA,NA
"499","In Former Taliban Stronghold, Defiant Women Hit the Gym",-1,-4,-1,"In a Former Taliban Stronghold, Defiant Women Hit the Gym",-1,-4,-1
"500","In Harm’s Way: Fighting the Summer Surge",NA,-1,NA,"In Harm’s Way",NA,NA,NA
"501","In Invoking Beau, Biden Broaches a Loss That’s Guided His Presidency",-1,-4,-3,"Biden Is Still Mourning a Son, But Some Can’t Bear His Grief",-1,-6,-4
"502","In Italy, Some Fear the Virus Is a Get-Out-of-Jail Card for Mafiosi",-2,-7,-2,"In Italy, Some Worry Pandemic Is a Get-Out-of-Jail Card for Mobsters",-1,-8,-3
"503","In Kabul’s Heart, Soviet Towers Harbor Decades of Tales",NA,1,NA,"In the Shabby Chic Towers in Kabul’s Heart, History Lives",0,-2,2
"504","In Kabul’s Streets, Dogs Rule the Night",NA,0,NA,"How Packs of Dogs Command Afghan Streets and Rule the Night",NA,0,NA
"505","In Louisiana, Vaccine Misinformation Has Public Health Workers Feeling ‘Stuck’",-1,3,-3,"Official Fights To Vaccinate In Louisiana",NA,1,NA
"506","In One Afghan District, Peace From 8 A.M. to 5 P.M.",1,4,2,"In One Afghan District, Peace From 8 A.M. to 5 P.M.",1,4,2
"507","In Panjshir, Few Signs of an Active Resistance, or Any Fight at All",-1,-5,0,"Wrestling for Control of Afghanistan’s Holdout Province",NA,-1,NA
"508","In Proud Corners of Afghanistan, New Calls for Autonomy",1,5,2,"In Proud Corners of Afghanistan, New Calls for Autonomy",1,5,2
"509","In Reversal, Pentagon Announces Aircraft Carrier Nimitz Will Remain in Middle East",NA,-2,NA,"In Reversal, Pentagon Orders Warship to Remain in Middle East",NA,-2,NA
"510","In Shanksville, Preserving the Memory of 9/11 and the Wars That Followed",NA,NA,NA,"In Shanksville, a Field of Flags for All the Fallen",-1,NA,-2
"511","In Southeast Asia, Kamala Harris’s Message: You Can Count on the U.S.",NA,2,NA,"In Southeast Asia, Harris Chides China While Promoting U.S. Credibility",NA,2,1
"512","In Submarine Deal With Australia, U.S. Counters China but Enrages France",NA,5,-2,"U.S. Defense Pact With Australia Enrages France",NA,1,-2
"513","In Taliban-Controlled Areas, Girls Are Fleeing for One Thing: an Education",-1,NA,NA,"Fleeing Taliban Areas, All for an Education",-1,NA,NA
"514","In Washington Riot, Echoes of Post-Soviet Uprisings",NA,-3,-2,"Scene in Washington Recalls Images of Post-Soviet Uprisings",NA,NA,NA
"515","In Washington, Recriminations Over Afghanistan Emerge Quickly",NA,NA,NA,"Afghan Collapse Blows Back on Biden",-1,-4,-2
"516","In Week of Words, It Often Seemed Like the Divided Nations",NA,-2,NA,"At Forum Dedicated to Peace, Speeches That Exalted Ideals And Stoked Old Resentments",3,7,4
"517","Inaugural Security Is Fortified in D.C. as Military and Police Links Are Eyed in Riot",NA,-2,-2,"Officials Scour Evidence for Police or Military Ties in Capitol Attack",-1,-3,-1
"518","India Offers Escape to Afghan Hindus and Sikhs Facing Attacks",-1,0,-2,"India Grants Afghan Hindus and Sikhs  Priority Visas to Escape Barrage of War",NA,-2,-2
"519","Indonesian Army to End So-Called Virginity Tests, Chief Says",NA,2,NA,"Indonesian Army to End So-Called Virginity Tests",NA,2,NA
"520","Inside a Nursing Home After the Vaccine: Joy, Relief and Game Night",2,4,3,"Joy, Relief and Bunco: Inside a Nursing Home After the Vaccine",2,4,3
"521","Inside the Afghan Evacuation: Rogue Flights, Crowded Tents, Hope and Chaos",-3,-2,0,"Escaping Afghanistan, Refugees Discover Chaos Is Far From Over  ",-1,-4,-3
"522","Inside the Capitol for Impeachment: National Guard in Every Corner",NA,0,NA,"Outrage and Anxiety As the Capitol Comes  Under Armed Guard",-2,-7,-5
"523","Inside the Shadowy Militias Luring Unsuspecting Afghans to Fight, or Die",-3,-5,-4,"Shadowy Force Lures Afghans To Fight, or Die",-2,-9,-4
"524","Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons",NA,-4,-1,"White House Lawyer Delivers For Ex-Patrons in Gun Industry",NA,-7,-1
"525","Instead of Reassurance, Trump’s Doctor Delivers Confusion, Experts Say",0,1,NA,"‘Spin Doctor’ Obliged to Carry Out Boss’s Bidding Has Lost Credibility",-1,2,-3
"526","Intelligence Agencies Did Not Predict Imminence of Afghan Collapse, Officials Say",-1,-1,-2,"Intelligence Agencies Did Not Predict Swift Collapse, Officials Say",1,0,0
"527","Intelligence Warned of Afghan Military Collapse, Despite Biden’s Assurances",0,-2,-4,"Contradicting Biden, Reports Warned of Rapid Collapse",-1,-2,-4
"528","Intrigue Deepens at U.N. Over Myanmar and Afghanistan",1,0,NA,"Myanmar Envoy Will Forgo Remarks at U.N. Assembly",NA,2,NA
