date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,
6/9/2021,"The Pentagon is considering whether to intervene with warplanes or drones in the event that Kabul is in danger of falling to the Taliban, though no decisions have been made.","WASHINGTON — The Pentagon is considering seeking authorization to carry out airstrikes to support Afghan security forces if Kabul or another major city is in danger of falling to the Taliban, potentially introducing flexibility into President Biden’s plan to end the United States military presence in the conflict, senior officials said.","The Pentagon is considering whether to intervene with warplanes or drones in the event that Kabul is in danger of falling to the Taliban, though no decisions have been made.",U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and Thomas Gibbons-Neff",U.S. Weighs Possibility of Airstrikes if Afghan Forces Face Crisis,Pentagon Eyes  Future Strikes  At the Taliban,NA,News,https://www.nytimes.com/2021/06/09/us/politics/afghanistan-airstrikes-us-troop-withdrawal.html,,
8/7/2021,"Sheberghan, in Jowzjan Province, collapsed less than 24 hours after a provincial capital in southwestern Afghanistan had fallen to the Taliban.","KABUL, Afghanistan — Another provincial capital, the second in two days, all but fell on Saturday in Afghanistan, officials said, this one in the country’s north, where a Taliban offensive has surrounded several cities since international forces began withdrawing in May.","Sheberghan, in Jowzjan Province, collapsed less than 24 hours after a provincial capital in southwestern Afghanistan had fallen to the Taliban.",World,Asia Pacific,Foreign,"By Thomas Gibbons-Neff, Fahim Abed and Sharif Hassan",Taliban Take Second Afghan City in Two Days,‘Nothing Is Left’: Taliban Take Second Afghan City in 2 Days,NA,News,https://www.nytimes.com/2021/08/07/world/asia/taliban-afghanistan.html,,
7/19/2021,The White House has come under heavy pressure to protect Afghan allies who helped the United States and speed up the process of providing them with special immigrant visas.,"WASHINGTON — The Biden administration plans to evacuate an initial group of Afghans who helped the United States during the 20-year war and who now face reprisals from the Taliban to an Army base in Virginia in the coming days, the State and Defense Departments said on Monday.",The White House has come under heavy pressure to protect Afghan allies who helped the United States and speed up the process of providing them with special immigrant visas.,U.S.,Politics,Washington,By Eric Schmitt,The Biden administration is sending Afghan visa applicants to an Army base in Virginia.,Some Afghan Applicants For Visas to Be Brought To Virginia Army Base,NA,News,https://www.nytimes.com/2021/07/19/us/politics/afghan-visa-applicants-army-base-virginia.html,,
8/25/2021,It pains me to see President Biden and other Western officials blame the Afghan Army for collapsing but not mention why that happened.,"For the past three and a half months, I fought day and night, nonstop, in southern Afghanistan’s Helmand Province against an escalating and bloody Taliban offensive. Coming under frequent attack, we held the Taliban back and inflicted heavy casualties. Then I was called to Kabul to command Afghanistan’s special forces. But the Taliban already were entering the city; it was too late.",It pains me to see President Biden and other Western officials blame the Afghan Army for collapsing but not mention why that happened.,Opinion,NA,OpEd,By Sami Sadat,I Commanded Afghan Troops This Year. We Were Betrayed.,I Led Afghan Troops. The U.S. Betrayed Us.,Guest Essay,Op-Ed,https://www.nytimes.com/2021/08/25/opinion/afghanistan-taliban-army.html,,
7/21/2021,"This month, 2,500 Afghans will be sent in stages to an Army base in Fort Lee, Va.","An additional 4,000 Afghans who worked with American forces, many of them interpreters, had been approved to relocate to the United States with their families in light of the withdrawal of U.S. troops, State Department officials said on Wednesday.","This month, 2,500 Afghans will be sent in stages to an Army base in Fort Lee, Va.",U.S.,Politics,Washington,By Jennifer Steinhauer,U.S. scrambles to move translators from Afghanistan while leaving many in limbo.,NA,NA,News,https://www.nytimes.com/2021/07/21/us/politics/afghanistan-interpreters-visas.html,,
8/22/2021,The president defended the U.S. efforts in Kabul and said the military had evacuated “an extraordinary number of people” since July.,"WASHINGTON — President Biden said on Sunday that his administration might extend his Aug. 31 deadline for removing all American troops from Afghanistan, and he pledged that all evacuated Afghan allies will be given a home in the United States after they are screened and vetted at bases in other countries.",The president defended the U.S. efforts in Kabul and said the military had evacuated “an extraordinary number of people” since July.,World,NA,Foreign,By Michael D. Shear and Matt Stevens,Biden says the Afghan evacuation deadline may be extended.,NA,NA,News,https://www.nytimes.com/2021/08/22/world/biden-afghanistan-evacuation.html,,
8/25/2021,A humanitarian effort led by Foreign Minister Marcelo Ebrard gave Afghans and their families a sanctuary amid the fast-unfolding crisis.,"A group of Afghans who worked for The New York Times, along with their families, touched down safely early Wednesday — not in New York or Washington, but at Benito Juárez International Airport in Mexico City.",A humanitarian effort led by Foreign Minister Marcelo Ebrard gave Afghans and their families a sanctuary amid the fast-unfolding crisis.,Business Day,Media,Business,By Ben Smith,How Mexico Helped The Times Get Its Journalists Out of Afghanistan,How Mexico Helped Get Afghans Out,THE Media equation,News,https://www.nytimes.com/2021/08/25/business/media/new-york-times-mexico-afghanistan.html,,
7/7/2021,Those who continued fighting for South Vietnam in 1975 know what it’s like when an American-made military is suddenly left with little support.,"WESTMINSTER, Calif. — After the longest period of war in United States history, the Americans announced they were finally pulling out. Troops boarded jets and left. The White House pledged continued support for local allies, but appetite for the war had dried up at home, and soon so did funding.",Those who continued fighting for South Vietnam in 1975 know what it’s like when an American-made military is suddenly left with little support.,U.S.,NA,National,By Dave Philipps,‘In the End We Felt Betrayed’: Vietnamese Veterans See Echoes in Afghanistan,Vietnamese Veterans See Echoes of 1975 in Afghanistan,NA,News,https://www.nytimes.com/2021/07/07/us/vietnam-war-veterans-us-afghanistan.html,,
9/6/2021,"The U.S. military evacuated 91,000 people out of a North Korean port in 1950. By some estimates, it was the single largest wartime refugee evacuation in American history until Afghanistan.","SEOUL — When he watched the scenes of desperate refugees trying to escape Afghanistan during the American withdrawal <U+3161> mothers clutching babies, men begging to board airplanes in Kabul — Sohn Yang-young, 70, felt tears welling up in his eyes, his heart aching as if he were there.","The U.S. military evacuated 91,000 people out of a North Korean port in 1950. By some estimates, it was the single largest wartime refugee evacuation in American history until Afghanistan.",World,Asia Pacific,Foreign,By Choe Sang-Hun,"As Afghan Refugee Crisis Unfolds, Survivors Recall ‘Miracle’ Evacuation","As Afghan Refugee Crisis Unfolds, Koreans Recall ‘Miracle’ Evacuation",NA,News,https://www.nytimes.com/2021/09/06/world/asia/korean-war-evacuation-afghanistan.html,,
8/17/2021,"Here are answers to questions about the militants who have seized control in Afghanistan again, including their origin story, their record as rulers, and why so many women fear their return.","In the winter of 1995, a New York Times correspondent visiting Afghanistan reported that after years of brutal civil strife, a big change seemed to be afoot.","Here are answers to questions about the militants who have seized control in Afghanistan again, including their origin story, their record as rulers, and why so many women fear their return.",World,Asia Pacific,Foreign,By Eric Nagourney,"Who Are the Taliban, and What Do They Want?",Afghanistan’s Once and Current Rulers,NA,News,https://www.nytimes.com/article/who-are-the-taliban.html,,
8/13/2021,The calls to action underscore the stark reality that the United States has no intention of rescuing government forces.,"As the Afghan government lost control of more than a dozen cities in a matter of days, Biden administration officials repeatedly urged its collapsing security forces to demonstrate “leadership” and “will” to defend Kabul, their capital — underscoring the stark reality that the United States has no intention of rescuing them as the Taliban storm across the country.",The calls to action underscore the stark reality that the United States has no intention of rescuing government forces.,U.S.,Politics,Washington,By Michael Crowley,"Fearing Kabul’s Fall, U.S. Officials Implore Afghans to ‘Fight’","Fearing Fall of Kabul, U.S. Officials Implore  Afghans to Fight Back",NA,News,https://www.nytimes.com/2021/08/13/us/politics/kabul-biden-afghanistan.html,,
8/26/2021,The State Department is frantically trying to track down U.S. citizens. Tens of thousands of Afghan allies will all but certainly be left behind.,"WASHINGTON — At least 1,500 American citizens remain in Afghanistan with just days left before the scheduled U.S. withdrawal from the country, but officials on Wednesday acknowledged the reality that tens of thousands of Afghan allies and others at high risk of Taliban reprisals would be left behind.",The State Department is frantically trying to track down U.S. citizens. Tens of thousands of Afghan allies will all but certainly be left behind.,World,Asia Pacific,Washington,By Lara Jakes and Michael Levenson,"U.S. Says 1,500 Americans Remain in Afghanistan as Evacuation Enters Final Days","1,500 Citizens Remain In Afghanistan as U.S. Intensifies Rush to Exit",NA,News,https://www.nytimes.com/2021/08/26/world/asia/afghanistan-taliban-united-states-evacuation.html,,
8/16/2021,The fall of Afghanistan’s government was captured in hundreds of videos from across the country. We analyzed some of the key moments.,"The Taliban seized power in Afghanistan on Sunday after a rapid advance across the country, overwhelming government forces and sending large swaths of the population into panic.",The fall of Afghanistan’s government was captured in hundreds of videos from across the country. We analyzed some of the key moments.,World,Asia Pacific,Video,"By Haley Willis, Christiaan Triebert, Evan Hill, Brenna Smith and Dmitriy Khavin",What Scenes From the Taliban’s Victory in Afghanistan Reveal,NA,Visual investigations,News,https://www.nytimes.com/2021/08/16/world/asia/afghanistan-taliban-video.html,,
8/17/2021,The fall of Kabul is not the fall of Saigon. But historians still point to some useful parallels and lessons.,"“Saigon.” Even those who weren’t alive to watch America’s ignominious exit from South Vietnam in 1975 can conjure the image: a helicopter perched atop an apartment building, loaded with evacuees, a photographic memorial for the country’s defeat and a sign of the wrenching political and cultural reckoning that was to come.",The fall of Kabul is not the fall of Saigon. But historians still point to some useful parallels and lessons.,U.S.,Politics,Politics,By Clay Risen,"Afghanistan, Vietnam and the Limits of American Power",NA,On Politics,News,https://www.nytimes.com/2021/08/17/us/politics/vietnam-war-afghanistan.html,,
8/30/2021,The last American flight from Afghanistan left behind a host of unfulfilled promises and anxious questions about the country’s fate.,"The end of the United States’ longest war was unceremonious — trash blowing across the single airstrip of Kabul’s international airport, Afghans lingering outside the gates, still hoping in vain for evacuation, Taliban firing victoriously into the night sky.",The last American flight from Afghanistan left behind a host of unfulfilled promises and anxious questions about the country’s fate.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"In Afghanistan, an Unceremonious End, and a Shrouded Beginning",A Solemn Pullout In the Last Hours Of a Lost Fight,News Analysis,News,https://www.nytimes.com/2021/08/30/world/asia/us-withdrawal-afghanistan-kabul.html,,
7/2/2021,"With the Taliban advancing and U.S. troops leaving, President Ashraf Ghani and his aides have become increasingly insular, and Kabul is slipping into shock.","KABUL, Afghanistan — With his military crumbling, President Ashraf Ghani of Afghanistan fired a crucial part of his command structure and brought in a new one. He created a nebulous “supreme state council,” announced months ago, that has hardly met. And as districts fall to the Taliban across the country, he has installed a giant picture of himself outside the airport’s domestic terminal.","With the Taliban advancing and U.S. troops leaving, President Ashraf Ghani and his aides have become increasingly insular, and Kabul is slipping into shock.",World,Asia Pacific,Foreign,By Adam Nossiter,"As Afghan Forces Crumble, an Air of Unreality Grips the Capital","In Kabul, High Tension and an Air of Unreality",NA,News,https://www.nytimes.com/2021/07/02/world/asia/afghanistan-withdrawal-taliban.html,,
8/25/2021,"At least 51 people who fled from Afghanistan landed in Uganda on Wednesday, the authorities said, the first to arrive in an African nation amid the race to complete such evacuations before the United States withdraws its military from Afghanistan by the month’s end.","At least 51 people who fled from Afghanistan landed in Uganda on Wednesday, the authorities said, the first to arrive in an African nation amid the race to complete such evacuations before the United States withdraws its military from Afghanistan by the month’s end.","At least 51 people who fled from Afghanistan landed in Uganda on Wednesday, the authorities said, the first to arrive in an African nation amid the race to complete such evacuations before the United States withdraws its military from Afghanistan ...",World,Africa,Foreign,By Abdi Latif Dahir and Musinguzi Blanshe,"Uganda takes in evacuees from Afghanistan, honoring a U.S. request.",NA,NA,News,https://www.nytimes.com/2021/08/25/world/africa/uganda-takes-in-evacuees-from-afghanistan-honoring-a-us-request.html,,
6/13/2021,"Many Americans want  this painful chapter closed, but supporting Afghanistan remains in our national security interest.","Within a few weeks, the last U.S. troops will leave Afghanistan, ending a military engagement that began 20 years ago this October. More than 2,300 of our finest have been killed, and more than 20,000 were wounded. More than 71,000 Afghan and Pakistani civilians have died as a direct result of the war. We have spent much blood and much treasure.","Many Americans want  this painful chapter closed, but supporting Afghanistan remains in our national security interest.",Opinion,NA,OpEd,By Robert M. Gates,We Cannot Afford to Turn Our Backs on Afghanistan,NA,Guest Essay,Op-Ed,https://www.nytimes.com/2021/06/13/opinion/robert-gates-afghanistan-withdrawal.html,,
7/26/2021,"The differences in how President Biden has handled the wars offer insight not only into America’s strategic interests, but also in how he views the two conflicts.","WASHINGTON — When it comes to winding down America’s wars, the contrast between President Biden’s handling of Iraq and Afghanistan is growing sharper.","The differences in how President Biden has handled the wars offer insight not only into America’s strategic interests, but also in how he views the two conflicts.",U.S.,Politics,Washington,By Annie Karni and Eric Schmitt,Biden Takes Two Paths to Wind Down Iraq and Afghan Wars,"In Winding Down Wars, Biden Takes Two Paths for Iraq and Afghanistan",NA,News,https://www.nytimes.com/2021/07/26/us/politics/biden-iraq-afghanistan.html,,
8/15/2021,"Confusion reigned in Washington early Sunday as the Taliban entered Kabul, Afghanistan’s capital, with U.S. officials scrambling to determine  how safe Americans still there would be.","Confusion reigned in Washington early Sunday as the Taliban entered Kabul, Afghanistan’s capital, with U.S. officials scrambling to determine  how safe Americans still there would be.",,World,NA,Foreign,"By Lara Jakes, Eric Schmitt and Helene Cooper",Officials in Washington are scrambling to keep up with the fast-moving events in Afghanistan.,NA,NA,News,https://www.nytimes.com/2021/08/15/world/officials-in-washington-are-scrambling-to-keep-up-with-the-fast-moving-events-in-afghanistan.html,,
9/7/2021,"The Gulf state played a major role in the American airlift, the latest evidence of the small but gas-rich country punching above its weight on the world stage.","DOHA, Qatar — As chaos took over the United States’ last-minute efforts to evacuate more than 120,000 of its citizens and partners from Afghanistan last month, a tiny, wealthy country that many Americans would struggle to find on a map suddenly found itself uniquely placed to help out.","The Gulf state played a major role in the American airlift, the latest evidence of the small but gas-rich country punching above its weight on the world stage.",World,Middle East,Foreign,By Ben Hubbard,"From Afghanistan to the World Cup, Tiny, Wealthy Qatar Steps Up","In Afghan Exit, Qatar Emerges As Go-Between",NA,News,https://www.nytimes.com/2021/09/07/world/middleeast/afghanistan-qatar-airlift.html,,
6/10/2021,"A program to bring people employed by the American military to the United States is backlogged, with thousands of applicants denied.","KABUL, Afghanistan — It was an offhand comment, blurted out in frustration. It may have destroyed Shoaib Walizada’s chances of earning a cherished visa to the United States.","A program to bring people employed by the American military to the United States is backlogged, with thousands of applicants denied.",World,Asia Pacific,Foreign,By David Zucchino and Najim Rahim,"As U.S. Withdraws, Afghan Interpreters Fear Being Left Behind",U.S. Visas Can Be a Life-or-Death Matter for Afghan Interpreters,NA,News,https://www.nytimes.com/2021/06/10/world/asia/afghan-interpreters-us-visas.html,,
5/27/2021,"Dozens of besieged outposts or bases, and four district centers, have given up to the insurgents this month, in an accelerating rural collapse as American troops leave.","MEHTARLAM, Afghanistan — Ammunition was depleted inside the bedraggled outposts in Laghman Province. Food was scarce. Some police officers hadn’t been paid in five months.","Dozens of besieged outposts or bases, and four district centers, have given up to the insurgents this month, in an accelerating rural collapse as American troops leave.",World,Asia Pacific,Foreign,By David Zucchino and Najim Rahim,A Wave of Afghan Surrenders to the Taliban Picks Up Speed,Afghan Bases Fall to Taliban as U.S. Heads Out,NA,News,https://www.nytimes.com/2021/05/27/world/asia/afghan-surrender-taliban.html,,
8/11/2021,The president had hoped to win credit for ending one of America’s “forever wars.” But new risks are coming into view.,"When President Biden announced his plan to withdraw U.S. troops from Afghanistan, the politics seemed relatively simple: Many polls showed that Americans supported ending the country’s nearly 20-year involvement in a war whose goals had become obscure.",The president had hoped to win credit for ending one of America’s “forever wars.” But new risks are coming into view.,U.S.,Politics,Washington,By Michael Crowley,Taliban Advances in Afghanistan Could Bring Political Peril for Biden,Leaving a ‘Forever War’  Could Backfire on Biden,NA,News,https://www.nytimes.com/2021/08/11/us/politics/biden-taliban-afghan-war.html,,
8/30/2021,"Frustrated with the Biden administration’s plans and inundated with requests for help, members of Congress in both parties have thrown themselves into extraction efforts.","WASHINGTON — Consumed with trying to help dozens of Afghans escape their country as U.S. troops prepared to withdraw, aides to Representative Michael Waltz, Republican of Florida, shifted their work schedules, coming in after midnight so they could talk evacuees through Taliban checkpoints.","Frustrated with the Biden administration’s plans and inundated with requests for help, members of Congress in both parties have thrown themselves into extraction efforts.",U.S.,Politics,Washington,By Luke Broadwater and Catie Edmondson,‘We Have to Try’: Lawmakers Rush to Assist in Afghanistan Evacuations.,"As Panicked Afghans Seek Help, Lawmakers Say, ‘We Have to Try’",NA,News,https://www.nytimes.com/2021/08/30/us/politics/congress-afghanistan-evacuation.html,,
7/8/2021,What does the United States’ withdrawal from Afghanistan look like?,"After a 20-year war, the United States has effectively ended its operations in Afghanistan — and it has done so with little fanfare.",What does the United States’ withdrawal from Afghanistan look like?,Podcasts,The Daily,Podcasts,NA,The End of America’s 20-Year War,NA,NA,News,https://www.nytimes.com/2021/07/08/podcasts/the-daily/afghanistan-withdrawal-us-military-bases.html,,
8/17/2021,America has a moral duty to help as many people threatened by the Taliban as it possibly can.,"There are no good ways to lose a war, but the way America has lost Afghanistan should fill every one of us with shame.",America has a moral duty to help as many people threatened by the Taliban as it possibly can.,Opinion,NA,Editorial,By Michelle Goldberg,Get Afghan Refugees Out. Then Let Them In.,Get the Refugees Out. Then Let Them In.,Michelle Goldberg,Op-Ed,https://www.nytimes.com/2021/08/16/opinion/afghanistan-refugees.html,,
8/5/2021,At least 115 Afghan security forces and 58 civilians were killed in Afghanistan in the first five days of August.,"At least 115 Afghan security forces and 58 civilians were killed in the first five days of August. In a serious escalation of their campaign, the Taliban have laid siege in recent weeks to several provincial capitals after sweeping through much of the country’s rural areas. The insurgents now control more than half of the country’s 400-odd districts, according to some assessments.",At least 115 Afghan security forces and 58 civilians were killed in Afghanistan in the first five days of August.,World,Asia Pacific,Foreign,By Fatima Faizi,Afghan War Casualty Report: August 2021,NA,NA,News,https://www.nytimes.com/2021/08/05/world/asia/afghanistan-casualty-report-august.html,,
8/19/2021,Imagining conversations on Afghanistan.,"As I watch events in Afghanistan unfold, I find myself trying to ignore all the commentary and longing instead to interview three people: President Lyndon Johnson, Chinese President Xi Jinping and Mohammed Zahir Shah, the last king of Afghanistan.",Imagining conversations on Afghanistan.,Opinion,NA,Editorial,By Thomas L. Friedman,Three People I Would Interview About Afghanistan,Three People I Would Interview About Afghanistan,Thomas L. Friedman,Op-Ed,https://www.nytimes.com/2021/08/19/opinion/afghanistan-us-taliban.html,,
7/2/2021,The administration has sought to reassure Americans that it is ending “forever wars” while signaling to Afghans that the U.S. is not abandoning the beleaguered country.,"WASHINGTON — To listen to the White House and Pentagon, the exit of the last American combat troops from Bagram Air Base is not the end of the mission in Afghanistan. At least that was the signal to the Afghans.",The administration has sought to reassure Americans that it is ending “forever wars” while signaling to Afghans that the U.S. is not abandoning the beleaguered country.,U.S.,Politics,Washington,By Eric Schmitt,Biden Sends Dueling Messages on Afghanistan,Achieving a U.S. Exit While Avoiding a Sense of Abandonment,News Analysis,News Analysis,https://www.nytimes.com/2021/07/02/us/politics/biden-afghanistan.html,,
8/17/2021,Many of those who worked alongside U.S. troops have waited years for visas to come to the United States. The speedy withdrawal of forces left most of them behind.,"Tens of thousands of Afghan nationals risked their lives to help the United States military in Afghanistan, many of them working as interpreters in combat. Now, after the Taliban’s takeover, they are desperate to leave — but passage to the United States may prove elusive.",Many of those who worked alongside U.S. troops have waited years for visas to come to the United States. The speedy withdrawal of forces left most of them behind.,U.S.,Politics,Washington,By Miriam Jordan,Thousands of Afghans who helped the U.S. are trapped. What happens next?,NA,NA,News,https://www.nytimes.com/2021/08/17/us/politics/thousands-of-afghans-who-helped-the-us-are-trapped-what-happens-next.html,,
9/1/2021,"A young man ventured out to explore the new world of Afghanistan. For his sister, it seemed safer to watch through the window.","Ahmad, 27, lingered in bed. He did not want to face the day. His sister Haanya, 20, had no appetite for breakfast. She looked out the window, where four Taliban fighters were patrolling the block, AK-47 rifles swung over their shoulders.","A young man ventured out to explore the new world of Afghanistan. For his sister, it seemed safer to watch through the window.",World,Asia Pacific,Foreign,By Farnaz Fassihi,Afghan siblings recount the perils of the first day of Taliban rule.,NA,NA,News,https://www.nytimes.com/2021/09/01/world/asia/taliban-kabul-scenes.html,,
8/28/2021,"Using office software, satellite maps and messaging apps, volunteers are acting like digital guide services to helping American citizens and Afghan allies flee the country.",DENVER — Joe Saboe pressed his fingers against his brow in exhaustion and leaned over a laptop as he tried to do what had been drilled into him over and over when he was an Army infantry officer: Leave no one behind.,"Using office software, satellite maps and messaging apps, volunteers are acting like digital guide services to helping American citizens and Afghan allies flee the country.",U.S.,NA,National,By Dave Philipps,A Digital Dunkirk: Veterans Online Scramble to Get People Out of Afghanistan,A ‘Digital Dunkirk’: U.S. Veterans Scramble to Help Afghan Allies,NA,News,https://www.nytimes.com/2021/08/28/us/help-afghanistan.html,,
8/27/2021,What America needs to learn from its Afghanistan debacle.,"Everything about the Afghanistan withdrawal is tragic. But that tragedy is the result not of the withdrawal, but the occupation, and America’s profound misjudgment of its own power and limits.",What America needs to learn from its Afghanistan debacle.,Opinion,NA,OpEd,By ‘The Ezra Klein Show',The Foreign Policy Conversation Washington Doesn’t Want to Have,NA,NA,Op-Ed,https://www.nytimes.com/2021/08/27/opinion/ezra-klein-podcast-robert-wright.html,,
9/13/2021,The international community pledged more than $1 billion in emergency aid as millions of Afghans risk running out of food just as winter sets in.,"Millions of Afghans could run out of food before the arrival of winter and one million children are at risk of starvation and death if their immediate needs are not met, top United Nations officials warned on Monday, putting the country’s plight into stark relief.",The international community pledged more than $1 billion in emergency aid as millions of Afghans risk running out of food just as winter sets in.,World,Asia Pacific,Foreign,"By Marc Santora, Nick Cumming-Bruce and Christina Goldbaum","A Million Afghan Children Could Die in ‘Most Perilous Hour,’ U.N. Warns","Millions of Afghans Are in Peril As Food Runs Out, U.N. Warns",NA,News,https://www.nytimes.com/2021/09/13/world/asia/afghanistan-united-nations-crisis.html,,
7/23/2021,"The airstrikes showed American willingness to back up beleaguered Afghan government forces as the Taliban advance, but the extent of that willingness remains unclear.","KABUL, Afghanistan — U.S. military aircraft struck a number of Taliban positions this week in support of faltering Afghan government forces, in one of the first significant American reactions to the insurgents’ blistering advance across Afghanistan as U.S. troops withdraw.","The airstrikes showed American willingness to back up beleaguered Afghan government forces as the Taliban advance, but the extent of that willingness remains unclear.",World,Europe,Foreign,By Adam Nossiter and Eric Schmitt,U.S. Strikes Taliban Targets in a Show of Force in Afghanistan,"Alarmed by Taliban’s Surge, U.S. Launches 11th-Hour Airstrikes",NA,News,https://www.nytimes.com/2021/07/23/world/europe/us-airstrikes-afghanistan-taliban.html,,
6/18/2021,"With President Biden planning to withdraw troops from Afghanistan by September, a bipartisan coalition in Congress is rushing to bring Afghans facing retribution to the United States.","WASHINGTON — As President Biden’s September deadline for ending the long war in Afghanistan approaches, a bipartisan coalition in Congress is stepping up efforts to ensure that Afghans who face retribution there for working alongside American troops and personnel are able to immigrate to the United States.","With President Biden planning to withdraw troops from Afghanistan by September, a bipartisan coalition in Congress is rushing to bring Afghans facing retribution to the United States.",U.S.,Politics,Washington,By Luke Broadwater,Lawmakers Rush to Help Afghans Seeking Visas for Helping the U.S.,American Lawmakers Rush to Provide Visas for Afghans Who Assisted U.S. Forces,NA,News,https://www.nytimes.com/2021/06/18/us/politics/afghan-translator-visas.html,,
8/13/2021,"The Taliban’s rapid advance has made clear that U.S. efforts to turn Afghanistan’s military into a robust, independent fighting force have failed, with its soldiers feeling abandoned by inept leaders.","KANDAHAR, Afghanistan — The surrenders seem to be happening as fast as the Taliban can travel.","The Taliban’s rapid advance has made clear that U.S. efforts to turn Afghanistan’s military into a robust, independent fighting force have failed, with its soldiers feeling abandoned by inept leaders.",World,Asia Pacific,Foreign,"By Thomas Gibbons-Neff, Fahim Abed and Sharif Hassan",The Afghan Military Was Built Over 20 Years. How Did It Collapse So Quickly?,Over 15 Cities Slip Out of the Grasp of Afghan Forces,NA,News,https://www.nytimes.com/2021/08/13/world/asia/afghanistan-rapid-military-collapse.html,,
8/16/2021,Many of those who worked alongside U.S. troops have waited years for visas to come to the United States. The speedy withdrawal of forces left most of them behind.,"Tens of thousands of Afghan nationals risked their lives to assist the United States military in Afghanistan, many of them working as interpreters alongside American soldiers in combat. Now, after the Taliban’s takeover, they are more desperate than ever to leave — but swift, safe passage to the United States may prove elusive.",Many of those who worked alongside U.S. troops have waited years for visas to come to the United States. The speedy withdrawal of forces left most of them behind.,U.S.,NA,National,By Miriam Jordan,Thousands Who Helped the U.S. in Afghanistan Are Trapped. What Happens Next?,A Frantic Demand For U.S. Visas,NA,News,https://www.nytimes.com/2021/08/16/us/afghanistan-visa-refugees-us.html,,
6/17/2021,"An official notice said that more than 115 people associated with the embassy had been infected, and that despite access to vaccines, most of those stricken were un- or only partially vaccinated.","KABUL, Afghanistan — The U.S. Embassy in Kabul went into lockdown on Thursday, citing a surge in coronavirus cases that has swamped the medical facilities that remain open to American diplomats as the U.S. military and international forces depart the country.","An official notice said that more than 115 people associated with the embassy had been infected, and that despite access to vaccines, most of those stricken were un- or only partially vaccinated.",World,NA,Foreign,"By Thomas Gibbons-Neff, Fatima Faizi and Lara Jakes","The U.S. Embassy in Kabul locks down, hit by a coronavirus outbreak surging across Afghanistan.",NA,NA,News,https://www.nytimes.com/2021/06/17/world/us-embassy-kabul-covid-lockdown.html,,
9/10/2021,"Jens Stoltenberg, NATO’s secretary general, also said that European calls for military autonomy would only divide the alliance and Europe itself.","BRUSSELS — Pushing back against European complaints that the Biden Administration had failed to consult its allies over the withdrawal from Afghanistan, Jens Stoltenberg, NATO’s secretary-general, said those objections were exaggerated and that NATO had given unanimous approval for the withdrawal as far back as April.","Jens Stoltenberg, NATO’s secretary general, also said that European calls for military autonomy would only divide the alliance and Europe itself.",World,Europe,Foreign,By Steven Erlanger,"NATO Chief Backs Biden, Saying Europe Was Consulted on Afghanistan",Head of NATO: U.S. Allies Were Consulted on Pullout,NA,News,https://www.nytimes.com/2021/09/10/world/europe/afghanistan-europe-stoltenberg.html,,
8/21/2021,Olivia Troye said the Trump aide Stephen Miller demanded restrictions on refugees. Mr. Miller said President Biden’s “incompetence” had led to the current chaos.,"A homeland security adviser to former Vice President Mike Pence accused the Trump administration of distorting the truth about Afghan refugees, writing on Twitter that the former president and Stephen Miller, his top immigration adviser, sought to prevent the refugees from entering the United States.",Olivia Troye said the Trump aide Stephen Miller demanded restrictions on refugees. Mr. Miller said President Biden’s “incompetence” had led to the current chaos.,World,Asia Pacific,Foreign,By Michael D. Shear,A former Pence aide says Trump and Miller tried to stymie Afghan refugee efforts.,NA,NA,News,https://www.nytimes.com/2021/08/21/world/asia/pence-troye-trump-miller-afghan-refugees.html,,
5/8/2021,"The attack, which came at the end of a particularly violent week, underlined growing concerns about the American troop withdrawal.","KABUL, Afghanistan — Powerful explosions outside a high school in Afghanistan’s capital on Saturday killed at least 90 people and wounded scores more, many of them teenage girls leaving class, in a gruesome attack that underscored fears about the nation’s future after the impending American troop withdrawal.","The attack, which came at the end of a particularly violent week, underlined growing concerns about the American troop withdrawal.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Najim Rahim,"Bombing Outside Afghan School Kills at Least 90, With Girls as Targets","Explosions Rock School in Kabul, Leaving 30 Dead",NA,News,https://www.nytimes.com/2021/05/08/world/asia/bombing-school-afghanistan.html,,
7/22/2021,"The legislation, spearheaded by Representative Jason Crow, Democrat of Colorado and a former Army Ranger, passed by a vote of 407 to 16.","The House voted overwhelmingly on Thursday to expand a visa program for Afghans who are facing retribution for helping American troops and diplomats during the 20-year war in Afghanistan, moving to allow more of them to immigrate to the United States quickly as the Biden administration races to evacuate them.","The legislation, spearheaded by Representative Jason Crow, Democrat of Colorado and a former Army Ranger, passed by a vote of 407 to 16.",U.S.,Politics,Washington,By Luke Broadwater,The House votes to increase the number of visas for Afghans who have helped U.S. troops.,NA,NA,News,https://www.nytimes.com/2021/07/22/us/politics/afghans-interpreters-visas-house.html,,
